"Job","Sex","Base","Exists","Count","Min","Max","Hashes"
"1 Swordman","Male","°Ë»ç_³²","True","700","0","699","0:114A3A17 1:A9FB05B8 2:B46D363A 3:529CFB27 4:A9FB05B8 5:B4AF51E1 6:AF02D8B9 7:F02D0ECD 8:E77104D6 9:BC650E31 10:D6B41E50 11:9D32421B 12:29396B0A 13:927B5C9E 14:61856EF5 15:A7BE941A 16:232393C4 17:FDA055DF 18:C5B8C633 19:5A27379F 20:1D7F3DC5"
"1 Swordman","Female","°Ë»ç_¿©","True","700","0","699","0:114A3A17 1:E1592DA8 2:80AF86D1 3:877EC73F 4:E1592DA8 5:F8197624 6:A1549346 7:16147DE3 8:F0FD38E3 9:DA4DFE05 10:B38C20FB 11:CB784848 12:BFD1ACFE 13:A497D509 14:A5C2A6FB 15:6CAED1DC 16:E5F6E46A 17:F431A1D9 18:5E0D9798 19:982606F9 20:0C672780"
"2 Mage","Male","¸¶¹ý»ç_³²","True","700","0","699","0:D11DC534 1:A8A960CC 2:B720A6A3 3:ED88C229 4:A8A960CC 5:226EE009 6:45A271CA 7:CAAF6824 8:E349B0A4 9:7A4DB6A3 10:2DBEFB27 11:B6831D4F 12:DA8518F4 13:6CCB65BC 14:3F3498E3 15:3626BF20 16:CA1F8B1F 17:E573B71B 18:E3BF9250 19:25221F54 20:8B695A30"
"2 Mage","Female","¸¶¹ý»ç_¿©","True","700","0","699","0:D11DC534 1:0E03E900 2:E63C6C04 3:9A7B7DA0 4:0E03E900 5:DBE8D893 6:04D564B1 7:50666747 8:9A852D56 9:D52592AF 10:F886607E 11:95D9C9E0 12:E4E14B4D 13:76D1263D 14:6C938837 15:729CF124 16:34732F70 17:6B202D3E 18:0CFF5EAA 19:3C1E100E 20:70E1DC76"
"3 Archer","Male","±Ã¼ö_³²","True","700","0","699","0:B507C1AF 1:EA955338 2:7FE5C03B 3:8B665428 4:EA955338 5:75E4644B 6:0D0C1740 7:5D68AF56 8:6777ADA1 9:851F2619 10:61EE909E 11:2010E56F 12:774910C3 13:C162B7E7 14:1B50079F 15:DA35BE94 16:53370CE6 17:3E71E52E 18:E5C99BA0 19:14D16F0B 20:CCF93BEF"
"3 Archer","Female","±Ã¼ö_¿©","True","700","0","699","0:02452DAF 1:A1A37631 2:84CAC1D2 3:43D6D4C1 4:A1A37631 5:D90006AF 6:3CE8C5EE 7:093AE221 8:895F844B 9:2D0A23BB 10:51873629 11:3FAC9151 12:1F148E37 13:B88670E7 14:CD533B90 15:2CB5007E 16:CDCE9467 17:DA2EC1D2 18:A1C20CFF 19:DC97499C 20:6274336F"
"4 Acolyte","Male","¼ºÁ÷ÀÚ_³²","True","700","0","699","0:5B6BB166 1:42D48573 2:7EE9F3BA 3:6A89F7CD 4:42D48573 5:6802916B 6:191FF0D4 7:ED60C629 8:C25819DC 9:444482EF 10:078B2758 11:17BAA2F0 12:314F8080 13:6EF1A4E1 14:1CA0FD38 15:8200E50E 16:FC5C91A1 17:CA7360F4 18:856E223C 19:6D3DFF12 20:675F7297"
"4 Acolyte","Female","¼ºÁ÷ÀÚ_¿©","True","700","0","699","0:5B6BB166 1:56040ACB 2:ADF70AD4 3:1A31866C 4:56040ACB 5:E95C2B3F 6:F79F909F 7:320308DD 8:53FEF59C 9:2D1EADD1 10:465958B9 11:266053B6 12:44FC8924 13:74DE0E20 14:9CBC5ACE 15:3247D2ED 16:C14EE21D 17:BEF761DE 18:7ACF1A64 19:9F6A918C 20:5EA83C55"
"5 Merchant","Male","»óÀÎ_³²","True","700","0","699","0:5EA69A35 1:669B03D1 2:95235545 3:F6A76033 4:A9FB05B8 5:E95C2B3F 6:F79F909F 7:320308DD 8:53FEF59C 9:2D1EADD1 10:465958B9 11:266053B6 12:44FC8924 13:74DE0E20 14:9CBC5ACE 15:3247D2ED 16:C14EE21D 17:BEF761DE 18:7ACF1A64 19:9F6A918C 20:5EA83C55"
"5 Merchant","Female","»óÀÎ_¿©","True","700","0","699","0:5EA69A35 1:3D87A1B8 2:AAC641BF 3:4C819C13 4:E1592DA8 5:0AA42E07 6:28757C6A 7:05FC8BEA 8:49074AFD 9:18452BCA 10:A13F7414 11:205C8A09 12:78E19887 13:81D6C684 14:033C24B1 15:80550660 16:53A19D18 17:CA4C370D 18:83ECCDC1 19:060C9C32 20:FCAFDF03"
"6 Thief","Male","µµµÏ_³²","True","700","0","699","0:96B08000 1:4B629590 2:03137ADC 3:CB37F039 4:4B629590 5:05298117 6:ECE79A8F 7:A0D41BF7 8:93A9627B 9:413EF85B 10:762258A6 11:7D0F6CB0 12:F83B8DE7 13:74DE0E20 14:3DB521AF 15:F8F9C6CF 16:A284723C 17:817367DF 18:14667A90 19:FA63E05B 20:4DB30C5E"
"6 Thief","Female","µµµÏ_¿©","True","700","0","699","0:96B08000 1:33B69726 2:C3AF40CB 3:ACF1F322 4:33B69726 5:0AA42E07 6:28757C6A 7:05FC8BEA 8:49074AFD 9:18452BCA 10:A13F7414 11:205C8A09 12:78E19887 13:81D6C684 14:033C24B1 15:80550660 16:53A19D18 17:CA4C370D 18:83ECCDC1 19:060C9C32 20:FCAFDF03"
