/// Mapas onde VENDING é proibido
// prontera	mapflag	novending
boss_global	mapflag	novending
bossnia_01	mapflag	novending
bossnia_02	mapflag	novending
bossnia_03	mapflag	novending
bossnia_04	mapflag	novending
lhz_dun_n	mapflag	novending
lhz_dun_n2	mapflag	novending
lhz_dun_n3	mapflag	novending
lhz_dun_n4	mapflag	novending
pvp_y_1-2	mapflag	novending
pvp_y_2-2	mapflag	novending
prtg_cas03	mapflag	novending

/// Mapas onde BUYING STORE é proibido
// prontera	mapflag	nobuyingstore
boss_global	mapflag	nobuyingstore
bossnia_01	mapflag	nobuyingstore
bossnia_02	mapflag	nobuyingstore
bossnia_03	mapflag	nobuyingstore
bossnia_04	mapflag	nobuyingstore
lhz_dun_n	mapflag	nobuyingstore
lhz_dun_n2	mapflag	nobuyingstore
lhz_dun_n3	mapflag	nobuyingstore
lhz_dun_n4	mapflag	nobuyingstore
pvp_y_1-2	mapflag	nobuyingstore
pvp_y_2-2	mapflag	nobuyingstore
prtg_cas03	mapflag	nobuyingstore

/// Mapas onde AUTOTRADE é proibido
// moc_para01	mapflag	autotrade
morocc_in	mapflag	autotrade
