"Base","Style","From","R","G","B","ShiftR","ShiftG","ShiftB"
"'Å¸Á¶·¹ÀÎÁ®_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"'Å¸Á¶·¹ÀÎÁ®_³²","11","9","0,82","1,02","1,2","-18","0","24"
"'Å¸Á¶·¹ÀÎÁ®_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"'Å¸Á¶·¹ÀÎÁ®_³²","13","9","1,2","0,92","1,15","22","-4","18"
"'Å¸Á¶·¹ÀÎÁ®_³²","14","9","0,82","1,15","1,16","-20","18","20"
"'Å¸Á¶·¹ÀÎÁ®_³²","15","9","1,18","1,06","0,72","22","12","-28"
"'Å¸Á¶·¹ÀÎÁ®_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"'Å¸Á¶·¹ÀÎÁ®_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"'Å¸Á¶·¹ÀÎÁ®_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"'Å¸Á¶·¹ÀÎÁ®_³²","19","1","1,18","0,82","1,02","26","-16","8"
"'Å¸Á¶·¹ÀÎÁ®_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"'Å¸Á¶·¹ÀÎÁ®_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"'Å¸Á¶·¹ÀÎÁ®_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"'Å¸Á¶·¹ÀÎÁ®_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"'Å¸Á¶·¹ÀÎÁ®_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"'Å¸Á¶·¹ÀÎÁ®_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"'Å¸Á¶·¹ÀÎÁ®_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"'Å¸Á¶·¹ÀÎÁ®_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"'Å¸Á¶·¹ÀÎÁ®_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"'Å¸Á¶·¹ÀÎÁ®_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"'Å¸Á¶·¹ÀÎÁ®_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"'Å¸Á¶·¹ÀÎÁ®_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_female","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_female","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_female","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_female","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_female","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_female","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_female","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_female","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_female","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_female","19","1","1,18","0,82","1,02","26","-16","8"
"abyss_chaser_female","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
