"Dest","Source","Style","SourceNum","Mode"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","1","0","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","2","1","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","3","2","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","4","3","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","5","4","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","6","5","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","7","6","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","8","7","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","9","8","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","10","9","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","11","10","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","12","11","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","13","12","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","14","13","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","15","14","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","16","15","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","17","16","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","18","17","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","19","18","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","20","19","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_¿©","·Îµå³ªÀÌÆ®_¿©","1","0","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_¿©","·Îµå³ªÀÌÆ®_¿©","2","1","downloads_kamishi_after_corrected_sprites"
"·Îµå³ªÀÌÆ®_¿©","·Îµå³ªÀÌÆ®_¿©","3","2","downloads_kamishi_after_corrected_sprites"
