Base,MutableIndices,Colors,Mode
'Å¸Á¶·¹ÀÎÁ®_³²,215,1..20,generated_high_contrast
'Å¸Á¶·¹ÀÎÁ®_¿©,208,1..20,generated_high_contrast
abyss_chaser_female,193,1..20,generated_high_contrast
abyss_chaser_female_riding,193,1..20,generated_high_contrast
abyss_chaser_male,185,1..20,generated_high_contrast
abyss_chaser_male_riding,185,1..20,generated_high_contrast
abyss_chaser_riding_³²,185,1..20,generated_high_contrast
abyss_chaser_riding_¿©,193,1..20,generated_high_contrast
abyss_chaser_³²,185,1..20,generated_high_contrast
abyss_chaser_¿©,193,1..20,generated_high_contrast
alchemist_female,232,1..20,generated_high_contrast
alchemist_female_riding,232,1..20,generated_high_contrast
alchemist_male,224,1..20,generated_high_contrast
alchemist_male_riding,224,1..20,generated_high_contrast
arch_bishop_female,223,1..20,generated_high_contrast
arch_bishop_female_riding,223,1..20,generated_high_contrast
arch_bishop_male,193,1..20,generated_high_contrast
arch_bishop_male_riding,193,1..20,generated_high_contrast
arch_mage_female,216,1..20,generated_high_contrast
arch_mage_female_riding,216,1..20,generated_high_contrast
arch_mage_male,216,1..20,generated_high_contrast
arch_mage_male_riding,216,1..20,generated_high_contrast
arch_mage_riding_³²,216,1..20,generated_high_contrast
arch_mage_riding_¿©,216,1..20,generated_high_contrast
arch_mage_³²,216,1..20,generated_high_contrast
arch_mage_¿©,216,1..20,generated_high_contrast
archer_female,224,1..20,generated_high_contrast
archer_male,224,1..20,generated_high_contrast
bard_female,162,1..20,generated_high_contrast
bard_male,214,1..20,generated_high_contrast
biolo_female,202,1..20,generated_high_contrast
biolo_female_riding,202,1..20,generated_high_contrast
biolo_male,208,1..20,generated_high_contrast
biolo_male_riding,208,1..20,generated_high_contrast
biolo_riding_³²,208,1..20,generated_high_contrast
biolo_riding_¿©,202,1..20,generated_high_contrast
biolo_³²,208,1..20,generated_high_contrast
biolo_¿©,202,1..20,generated_high_contrast
cardinal_female,223,1..20,generated_high_contrast
cardinal_female_riding,223,1..20,generated_high_contrast
cardinal_legacy_female,182,1..20,generated_high_contrast
cardinal_legacy_female_riding,182,1..20,generated_high_contrast
cardinal_legacy_male,174,1..20,generated_high_contrast
cardinal_legacy_male_riding,182,1..20,generated_high_contrast
cardinal_male,193,1..20,generated_high_contrast
cardinal_male_riding,193,1..20,generated_high_contrast
cardinal_riding_³²,193,1..20,generated_high_contrast
cardinal_riding_¿©,223,1..20,generated_high_contrast
cardinal_³²,193,1..20,generated_high_contrast
cardinal_¿©,223,1..20,generated_high_contrast
cart_summoner_³²,176,1..20,generated_high_contrast
cart_summoner_¿©,200,1..20,generated_high_contrast
cartsummoner_³²,209,1..20,generated_high_contrast
cartsummoner_¿©,201,1..20,generated_high_contrast
champion_female,240,1..20,generated_high_contrast
champion_female_riding,240,1..20,generated_high_contrast
champion_male,214,1..20,generated_high_contrast
champion_male_riding,214,1..20,generated_high_contrast
clown_male,214,1..20,generated_high_contrast
creator_female,232,1..20,generated_high_contrast
creator_female_riding,232,1..20,generated_high_contrast
creator_male,224,1..20,generated_high_contrast
creator_male_riding,224,1..20,generated_high_contrast
crusader_female,224,1..20,generated_high_contrast
crusader_male,222,1..20,generated_high_contrast
dancer_female,162,1..20,generated_high_contrast
dancer_female_riding,162,1..20,generated_high_contrast
dancer_male,214,1..20,generated_high_contrast
dog_guillotine_cross_female,185,1..20,generated_high_contrast
dog_guillotine_cross_male,185,1..20,generated_high_contrast
dog_rogue_female,224,1..20,generated_high_contrast
dog_rogue_male,224,1..20,generated_high_contrast
dog_shadow_chaser_female,193,1..20,generated_high_contrast
dog_shadow_chaser_male,185,1..20,generated_high_contrast
dog_stalker_female,224,1..20,generated_high_contrast
dog_stalker_male,222,1..20,generated_high_contrast
dog_thief_female,216,1..20,generated_high_contrast
dog_thief_male,208,1..20,generated_high_contrast
dragon_knight_chicken_³²,224,1..20,generated_high_contrast
dragon_knight_chicken_¿©,216,1..20,generated_high_contrast
dragon_knight_female,216,1..20,generated_high_contrast
dragon_knight_female_riding,216,1..20,generated_high_contrast
dragon_knight_male,224,1..20,generated_high_contrast
dragon_knight_male_riding,224,1..20,generated_high_contrast
dragon_knight_riding_³²,224,1..20,generated_high_contrast
