Base,Source,Main,MainShadow,Detail,Gold,Purple,Green,Dark,Accent
'Å¸Á¶·¹ÀÎÁ®_³²,162,151,10,2,1,10,41,36,5
'Å¸Á¶·¹ÀÎÁ®_¿©,162,162,10,2,1,10,31,35,5
abyss_chaser_female,162,160,12,2,2,3,44,27,6
abyss_chaser_female_riding,162,160,12,2,2,3,44,27,6
abyss_chaser_male,162,93,45,4,2,6,34,46,26
abyss_chaser_male_riding,162,93,45,4,2,6,34,46,26
abyss_chaser_riding_³²,162,93,45,4,2,6,34,46,26
abyss_chaser_riding_¿©,162,160,12,2,2,3,44,27,6
abyss_chaser_³²,162,93,45,4,2,6,34,46,26
abyss_chaser_¿©,162,160,12,2,2,3,44,27,6
alchemist_female,162,126,8,0,2,0,77,37,6
alchemist_female_riding,162,126,8,0,2,0,77,37,6
alchemist_male,162,157,9,0,2,0,54,29,5
alchemist_male_riding,162,157,9,0,2,0,54,29,5
arch_bishop_female,162,69,40,0,2,0,68,51,26
arch_bishop_female_riding,162,69,40,0,2,0,68,51,26
arch_bishop_male,162,76,45,2,2,13,44,48,26
arch_bishop_male_riding,162,76,45,2,2,13,44,48,26
arch_mage_female,162,145,10,2,3,7,53,30,6
arch_mage_female_riding,162,145,10,2,3,7,53,30,6
arch_mage_male,162,86,31,4,3,10,48,55,19
arch_mage_male_riding,162,86,31,4,3,10,48,55,19
arch_mage_riding_³²,162,86,31,4,3,10,48,55,19
arch_mage_riding_¿©,162,145,10,2,3,7,53,30,6
arch_mage_³²,162,86,31,4,3,10,48,55,19
arch_mage_¿©,162,145,10,2,3,7,53,30,6
archer_female,162,144,11,0,1,8,50,36,6
archer_male,162,141,13,0,2,3,53,37,7
bard_female,162,80,17,2,2,12,10,127,6
bard_male,162,78,45,2,2,3,49,50,27
biolo_female,162,140,15,2,2,7,54,29,7
biolo_female_riding,162,140,15,2,2,7,54,29,7
biolo_male,162,68,46,2,2,10,53,48,27
biolo_male_riding,162,68,46,2,2,10,53,48,27
biolo_riding_³²,162,68,46,2,2,10,53,48,27
biolo_riding_¿©,162,140,15,2,2,7,54,29,7
biolo_³²,162,68,46,2,2,10,53,48,27
biolo_¿©,162,140,15,2,2,7,54,29,7
cardinal_female,162,69,40,0,2,0,68,51,26
cardinal_female_riding,162,69,40,0,2,0,68,51,26
cardinal_legacy_female,162,95,39,2,2,10,39,46,23
cardinal_legacy_female_riding,162,95,39,2,2,10,39,46,23
cardinal_legacy_male,162,99,42,2,2,13,29,45,24
cardinal_legacy_male_riding,162,95,39,2,2,10,39,46,23
cardinal_male,162,76,45,2,2,13,44,48,26
cardinal_male_riding,162,76,45,2,2,13,44,48,26
cardinal_riding_³²,162,76,45,2,2,13,44,48,26
cardinal_riding_¿©,162,69,40,0,2,0,68,51,26
cardinal_³²,162,76,45,2,2,13,44,48,26
cardinal_¿©,162,69,40,0,2,0,68,51,26
cart_summoner_³²,162,91,42,4,2,9,39,48,21
cart_summoner_¿©,162,86,47,2,2,12,37,44,26
cartsummoner_³²,162,85,45,4,2,7,39,48,26
cartsummoner_¿©,162,167,14,2,2,0,37,26,8
champion_female,162,71,9,2,1,0,134,33,6
champion_female_riding,162,71,9,2,1,0,134,33,6
champion_male,162,79,46,2,2,3,48,48,28
champion_male_riding,162,79,46,2,2,3,48,48,28
clown_male,162,78,45,2,2,3,49,50,27
creator_female,162,126,8,0,2,0,77,37,6
creator_female_riding,162,126,8,0,2,0,77,37,6
creator_male,162,157,9,0,2,0,54,29,5
creator_male_riding,162,157,9,0,2,0,54,29,5
crusader_female,162,70,41,2,2,3,67,46,25
crusader_male,162,64,45,2,2,7,61,47,28
dancer_female,162,80,17,2,2,12,10,127,6
dancer_female_riding,162,80,17,2,2,12,10,127,6
dancer_male,162,78,45,2,2,3,49,50,27
dog_guillotine_cross_female,162,152,17,2,2,6,42,26,9
dog_guillotine_cross_male,162,168,16,2,2,6,28,26,8
dog_rogue_female,162,157,10,0,2,0,53,28,6
dog_rogue_male,162,146,9,0,2,0,64,30,5
dog_shadow_chaser_female,162,160,12,2,2,3,44,27,6
dog_shadow_chaser_male,162,93,45,4,2,6,34,46,26
dog_stalker_female,162,70,41,2,2,3,67,46,25
dog_stalker_male,162,64,45,2,2,7,61,47,28
dog_thief_female,162,144,11,0,2,3,60,31,5
dog_thief_male,162,157,15,2,2,7,39,27,7
dragon_knight_chicken_³²,162,113,15,2,2,7,66,42,9
dragon_knight_chicken_¿©,162,148,14,2,2,7,42,33,8
dragon_knight_female,162,148,14,2,2,7,42,33,8
dragon_knight_female_riding,162,148,14,2,2,7,42,33,8
dragon_knight_male,162,113,15,2,2,7,66,42,9
dragon_knight_male_riding,162,113,15,2,2,7,66,42,9
dragon_knight_riding_³²,162,113,15,2,2,7,66,42,9
dragon_knight_riding_¿©,162,148,14,2,2,7,42,33,8
dragon_knight_³²,162,113,15,2,2,7,66,42,9
dragon_knight_¿©,162,148,14,2,2,7,42,33,8
elemental_master_female_riding,162,167,14,2,2,0,37,26,8
elemental_master_male_riding,162,85,45,4,2,7,39,48,26
elemetal_master_female,162,167,14,2,2,0,37,26,8
elemetal_master_female_riding,162,167,14,2,2,0,37,26,8
elemetal_master_male,162,85,45,4,2,7,39,48,26
elemetal_master_male_riding,162,85,45,4,2,7,39,48,26
elemetal_master_riding_³²,162,85,45,4,2,7,39,48,26
elemetal_master_riding_¿©,162,167,14,2,2,0,37,26,8
elemetal_master_³²,162,85,45,4,2,7,39,48,26
elemetal_master_¿©,162,167,14,2,2,0,37,26,8
frog_kagerou_male,162,61,13,2,2,12,38,120,8
frog_kagerou_³²,162,61,13,2,2,12,38,120,8
frog_ninja_female,162,65,15,2,2,15,29,120,8
frog_ninja_male,162,61,13,2,2,12,38,120,8
frog_oboro_female,162,65,15,2,2,15,29,120,8
frog_oboro_¿©,162,65,15,2,2,15,29,120,8
frog_soul_linker_female,162,156,14,0,2,7,42,27,8
frog_soul_linker_male,162,74,43,2,1,6,56,49,25
genetic_female,162,140,15,2,2,7,54,29,7
genetic_female_riding,162,140,15,2,2,7,54,29,7
genetic_male,162,68,46,2,2,10,53,48,27
genetic_male_riding,162,68,46,2,2,10,53,48,27
guillotine_cross_female,162,152,17,2,2,6,42,26,9
guillotine_cross_male,162,168,16,2,2,6,28,26,8
gunslinger_female,162,79,43,2,2,3,53,48,26
gunslinger_male,162,79,43,2,2,3,53,48,26
high_priest_female,162,76,9,2,1,0,129,33,6
high_priest_female_riding,162,76,9,2,1,0,129,33,6
high_priest_male,162,79,46,2,2,3,48,48,28
high_priest_male_riding,162,79,46,2,2,3,48,48,28
high_wizard_female,162,142,12,0,2,0,66,26,8
high_wizard_male,162,152,9,0,2,0,59,29,5
hunter_female,162,135,10,0,2,0,73,30,6
hunter_male,162,78,45,2,2,3,49,50,27
hyper_novice_female,162,159,12,0,2,6,44,27,6
hyper_novice_female_riding,162,159,12,0,2,6,44,27,6
hyper_novice_male,162,159,12,0,2,6,44,27,6
hyper_novice_male_riding,162,159,12,0,2,6,44,27,6
hyper_novice_riding_³²,162,159,12,0,2,6,44,27,6
