Color,accent,accent_lum,dark,dark_lum,detail,detail_lum,gold,gold_lum,green,green_lum,main,main_lum,main_shadow,main_shadow_lum,purple,purple_lum
1,49.23,83.5,6.15,32.8,88.5,187.8,96.32,110.0,118.16,123.3,0.0,176.1,0.0,119.8,65.68,126.1
2,49.23,83.5,5.37,32.5,96.48,192.3,96.32,110.0,67.59,129.1,0.0,176.1,0.0,119.8,76.71,120.3
3,49.23,83.5,6.66,33.3,91.45,195.5,96.32,110.0,84.22,133.5,0.0,176.1,0.0,119.8,72.34,134.9
4,49.23,83.5,6.01,32.4,71.37,206.5,96.32,110.0,105.61,148.3,0.0,176.1,0.0,119.8,90.4,118.9
5,49.23,83.5,6.25,31.7,85.18,212.2,96.32,110.0,75.04,155.5,0.0,176.1,0.0,119.8,94.52,103.0
6,48.4,82.7,6.51,31.6,65.84,207.8,128.82,107.8,96.55,149.7,90.7,163.0,42.47,111.2,126.68,101.4
7,45.78,74.8,6.32,31.7,87.94,198.8,85.86,89.8,79.0,138.0,88.16,164.3,40.89,112.1,116.54,105.8
8,49.23,83.5,6.51,31.6,87.16,215.5,96.32,110.0,83.97,160.0,89.58,164.2,40.98,112.1,126.68,101.4
9,49.23,83.5,6.51,31.6,99.04,190.7,96.32,110.0,71.0,126.8,88.58,165.5,39.47,113.1,126.68,101.4
10,49.23,83.5,6.32,31.7,69.23,209.8,96.32,110.0,111.41,152.6,85.79,165.5,39.33,113.1,116.54,105.8
11,49.23,83.5,5.71,32.0,88.5,187.8,96.32,110.0,118.16,123.3,28.73,168.8,37.73,115.8,81.72,111.7
12,45.6,76.9,5.51,32.3,87.16,215.5,130.28,94.3,83.97,160.0,26.69,171.2,36.48,117.8,78.12,116.0
13,49.23,83.5,5.37,32.5,78.03,201.7,96.32,110.0,73.84,141.8,27.35,173.6,36.19,119.7,76.71,120.3
14,49.23,83.5,5.92,31.9,71.37,206.5,96.32,110.0,105.61,148.3,32.47,166.3,39.86,113.8,87.33,107.3
15,49.23,83.5,5.61,32.2,69.8,199.5,96.32,110.0,98.59,138.7,27.44,170.0,36.94,116.9,79.74,113.8
16,49.23,83.5,5.09,31.7,88.5,187.8,96.32,110.0,118.16,123.3,73.44,163.9,42.94,111.8,133.0,102.9
17,49.23,83.5,4.57,32.0,71.37,206.5,96.32,110.0,105.61,148.3,62.14,168.8,37.92,115.7,115.39,111.6
18,58.32,89.3,6.15,32.8,65.84,207.8,156.66,123.5,96.55,149.7,51.39,176.8,35.76,122.4,65.68,126.1
19,48.4,82.7,5.68,32.8,88.5,187.8,128.82,107.8,118.16,123.3,87.28,177.5,36.62,123.0,111.99,127.7
20,49.23,83.5,5.45,33.2,64.69,207.8,96.32,110.0,111.83,149.6,43.73,180.8,40.95,125.7,91.3,133.4
