"Base","Style","Variant","ShirtIndices","ShortIndices","Mode"
"Á¦Ã¶°ø_¿©","2","white_green","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","3","white_blue","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","4","white_red","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","5","cream_orange","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","6","cream_gold","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","7","white_purple","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","8","white_pink","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","9","white_leaf","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","10","white_navy","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","11","white_wine","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","12","gray_black","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","13","ivory_brown","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","14","white_cyan","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","15","white_fire","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","16","white_peri","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","17","white_lime","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","18","white_violet","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","19","white_rose","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_¿©","20","mint_teal","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","2","white_green","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","3","white_blue","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","4","white_red","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","5","cream_orange","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","6","cream_gold","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","7","white_purple","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","8","white_pink","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","9","white_leaf","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","10","white_navy","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","11","white_wine","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","12","gray_black","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","13","ivory_brown","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","14","white_cyan","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","15","white_fire","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","16","white_peri","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","17","white_lime","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","18","white_violet","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","19","white_rose","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"Á¦Ã¶°ø_³²","20","mint_teal","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","2","white_green","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","3","white_blue","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","4","white_red","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","5","cream_orange","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","6","cream_gold","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","7","white_purple","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","8","white_pink","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","9","white_leaf","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","10","white_navy","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","11","white_wine","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","12","gray_black","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","13","ivory_brown","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","14","white_cyan","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","15","white_fire","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","16","white_peri","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","17","white_lime","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","18","white_violet","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","19","white_rose","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female","20","mint_teal","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","2","white_green","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","3","white_blue","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","4","white_red","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","5","cream_orange","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","6","cream_gold","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","7","white_purple","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","8","white_pink","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","9","white_leaf","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","10","white_navy","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","11","white_wine","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","12","gray_black","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","13","ivory_brown","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","14","white_cyan","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","15","white_fire","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","16","white_peri","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","17","white_lime","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","18","white_violet","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","19","white_rose","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_male","20","mint_teal","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female_riding","2","white_green","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female_riding","3","white_blue","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female_riding","4","white_red","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
"whitesmith_female_riding","5","cream_orange","24,25,26,27,32,41,42,56,57,58,59,88,90,120,121,122,123,128","51,52,53,59,60,61,67,68,69,77,78,79","explicit_index_whitelist"
