"Base","Style","Variant","ShirtIndices","ShortIndices","Mode"
"Á¦Ã¶°ø_¿©","2","white_green","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","3","white_blue","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","4","white_red","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","5","cream_orange","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","6","cream_gold","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","7","white_purple","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","8","white_pink","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","9","white_leaf","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","10","white_navy","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","11","white_wine","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","12","gray_black","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","13","ivory_brown","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","14","white_cyan","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","15","white_fire","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","16","white_peri","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","17","white_lime","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","18","white_violet","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","19","white_rose","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_¿©","20","mint_teal","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","2","white_green","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","3","white_blue","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","4","white_red","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","5","cream_orange","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","6","cream_gold","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","7","white_purple","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","8","white_pink","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","9","white_leaf","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","10","white_navy","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","11","white_wine","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","12","gray_black","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","13","ivory_brown","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","14","white_cyan","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","15","white_fire","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","16","white_peri","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","17","white_lime","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","18","white_violet","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","19","white_rose","24..31","40..47","job10_probe_confirmed_shirt_short"
"Á¦Ã¶°ø_³²","20","mint_teal","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","2","white_green","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","3","white_blue","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","4","white_red","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","5","cream_orange","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","6","cream_gold","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","7","white_purple","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","8","white_pink","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","9","white_leaf","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","10","white_navy","24..31","40..47","job10_probe_confirmed_shirt_short"
"whitesmith_female","11","white_wine","24..31","40..47","job10_probe_confirmed_shirt_short"
