"Base","Style","Variant","ChangedEntries","ShirtEntries","ShortEntries","Mode"
"Á¦Ã¶°ø_¿©","2","white_green","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","3","white_blue","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","4","white_red","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","5","cream_orange","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","6","cream_gold","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","7","white_purple","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","8","white_pink","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","9","white_leaf","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","10","white_navy","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","11","white_wine","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","12","gray_black","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","13","ivory_brown","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","14","white_cyan","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","15","white_fire","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","16","white_peri","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","17","white_lime","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","18","white_violet","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","19","white_rose","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_¿©","20","mint_teal","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","2","white_green","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","3","white_blue","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","4","white_red","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","5","cream_orange","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","6","cream_gold","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","7","white_purple","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","8","white_pink","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","9","white_leaf","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","10","white_navy","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","11","white_wine","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","12","gray_black","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","13","ivory_brown","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","14","white_cyan","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","15","white_fire","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","16","white_peri","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","17","white_lime","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","18","white_violet","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","19","white_rose","35","8","27","conservative_shirt_short_from_style1"
"Á¦Ã¶°ø_³²","20","mint_teal","35","8","27","conservative_shirt_short_from_style1"
"whitesmith_female","2","white_green","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","3","white_blue","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","4","white_red","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","5","cream_orange","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","6","cream_gold","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","7","white_purple","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","8","white_pink","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","9","white_leaf","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","10","white_navy","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","11","white_wine","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","12","gray_black","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","13","ivory_brown","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","14","white_cyan","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","15","white_fire","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","16","white_peri","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","17","white_lime","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","18","white_violet","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","19","white_rose","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_female","20","mint_teal","34","12","22","conservative_shirt_short_from_style1"
"whitesmith_male","2","white_green","31","11","20","conservative_shirt_short_from_style1"
