"Base","Style","Variant","ChangedEntries","ShirtEntries","ShortEntries","Mode"
"Á¦Ã¶°ø_¿©","2","white_green","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","3","white_blue","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","4","white_red","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","5","cream_orange","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","6","cream_gold","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","7","white_purple","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","8","white_pink","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","9","white_leaf","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","10","white_navy","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","11","white_wine","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","12","gray_black","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","13","ivory_brown","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","14","white_cyan","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","15","white_fire","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","16","white_peri","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","17","white_lime","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","18","white_violet","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","19","white_rose","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_¿©","20","mint_teal","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","2","white_green","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","3","white_blue","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","4","white_red","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","5","cream_orange","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","6","cream_gold","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","7","white_purple","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","8","white_pink","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","9","white_leaf","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","10","white_navy","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","11","white_wine","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","12","gray_black","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","13","ivory_brown","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","14","white_cyan","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","15","white_fire","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","16","white_peri","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","17","white_lime","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","18","white_violet","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","19","white_rose","64","18","46","shirt_short_only_from_style1"
"Á¦Ã¶°ø_³²","20","mint_teal","64","18","46","shirt_short_only_from_style1"
"whitesmith_female","2","white_green","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","3","white_blue","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","4","white_red","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","5","cream_orange","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","6","cream_gold","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","7","white_purple","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","8","white_pink","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","9","white_leaf","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","10","white_navy","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","11","white_wine","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","12","gray_black","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","13","ivory_brown","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","14","white_cyan","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","15","white_fire","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","16","white_peri","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","17","white_lime","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","18","white_violet","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","19","white_rose","89","41","48","shirt_short_only_from_style1"
"whitesmith_female","20","mint_teal","89","41","48","shirt_short_only_from_style1"
"whitesmith_male","2","white_green","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","3","white_blue","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","4","white_red","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","5","cream_orange","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","6","cream_gold","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","7","white_purple","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","8","white_pink","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","9","white_leaf","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","10","white_navy","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","11","white_wine","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","12","gray_black","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","13","ivory_brown","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","14","white_cyan","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","15","white_fire","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","16","white_peri","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","17","white_lime","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","18","white_violet","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","19","white_rose","92","42","50","shirt_short_only_from_style1"
"whitesmith_male","20","mint_teal","92","42","50","shirt_short_only_from_style1"
"whitesmith_female_riding","2","white_green","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","3","white_blue","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","4","white_red","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","5","cream_orange","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","6","cream_gold","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","7","white_purple","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","8","white_pink","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","9","white_leaf","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","10","white_navy","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","11","white_wine","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","12","gray_black","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","13","ivory_brown","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","14","white_cyan","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","15","white_fire","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","16","white_peri","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","17","white_lime","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","18","white_violet","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","19","white_rose","89","41","48","shirt_short_only_from_style1"
"whitesmith_female_riding","20","mint_teal","89","41","48","shirt_short_only_from_style1"
"whitesmith_male_riding","2","white_green","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","3","white_blue","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","4","white_red","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","5","cream_orange","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","6","cream_gold","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","7","white_purple","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","8","white_pink","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","9","white_leaf","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","10","white_navy","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","11","white_wine","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","12","gray_black","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","13","ivory_brown","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","14","white_cyan","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","15","white_fire","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","16","white_peri","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","17","white_lime","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","18","white_violet","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","19","white_rose","92","42","50","shirt_short_only_from_style1"
"whitesmith_male_riding","20","mint_teal","92","42","50","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","2","white_green","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","3","white_blue","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","4","white_red","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","5","cream_orange","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","6","cream_gold","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","7","white_purple","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","8","white_pink","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","9","white_leaf","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","10","white_navy","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","11","white_wine","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","12","gray_black","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","13","ivory_brown","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","14","white_cyan","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","15","white_fire","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","16","white_peri","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","17","white_lime","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","18","white_violet","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","19","white_rose","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_¿©","20","mint_teal","61","24","37","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","2","white_green","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","3","white_blue","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","4","white_red","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","5","cream_orange","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","6","cream_gold","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","7","white_purple","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","8","white_pink","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","9","white_leaf","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","10","white_navy","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","11","white_wine","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","12","gray_black","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","13","ivory_brown","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","14","white_cyan","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","15","white_fire","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","16","white_peri","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","17","white_lime","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","18","white_violet","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","19","white_rose","61","21","40","shirt_short_only_from_style1"
"È­ÀÌÆ®½º¹Ì½º_³²","20","mint_teal","61","21","40","shirt_short_only_from_style1"
"merchant_female","2","white_green","94","55","39","shirt_short_only_from_style1"
"merchant_female","3","white_blue","94","55","39","shirt_short_only_from_style1"
"merchant_female","4","white_red","94","55","39","shirt_short_only_from_style1"
"merchant_female","5","cream_orange","94","55","39","shirt_short_only_from_style1"
"merchant_female","6","cream_gold","94","55","39","shirt_short_only_from_style1"
"merchant_female","7","white_purple","94","55","39","shirt_short_only_from_style1"
"merchant_female","8","white_pink","94","55","39","shirt_short_only_from_style1"
"merchant_female","9","white_leaf","94","55","39","shirt_short_only_from_style1"
"merchant_female","10","white_navy","94","55","39","shirt_short_only_from_style1"
"merchant_female","11","white_wine","94","55","39","shirt_short_only_from_style1"
"merchant_female","12","gray_black","94","55","39","shirt_short_only_from_style1"
"merchant_female","13","ivory_brown","94","55","39","shirt_short_only_from_style1"
"merchant_female","14","white_cyan","94","55","39","shirt_short_only_from_style1"
"merchant_female","15","white_fire","94","55","39","shirt_short_only_from_style1"
"merchant_female","16","white_peri","94","55","39","shirt_short_only_from_style1"
"merchant_female","17","white_lime","94","55","39","shirt_short_only_from_style1"
"merchant_female","18","white_violet","94","55","39","shirt_short_only_from_style1"
"merchant_female","19","white_rose","94","55","39","shirt_short_only_from_style1"
"merchant_female","20","mint_teal","94","55","39","shirt_short_only_from_style1"
"merchant_male","2","white_green","91","40","51","shirt_short_only_from_style1"
"merchant_male","3","white_blue","91","40","51","shirt_short_only_from_style1"
"merchant_male","4","white_red","91","40","51","shirt_short_only_from_style1"
"merchant_male","5","cream_orange","91","40","51","shirt_short_only_from_style1"
"merchant_male","6","cream_gold","91","40","51","shirt_short_only_from_style1"
"merchant_male","7","white_purple","91","40","51","shirt_short_only_from_style1"
"merchant_male","8","white_pink","91","40","51","shirt_short_only_from_style1"
"merchant_male","9","white_leaf","91","40","51","shirt_short_only_from_style1"
"merchant_male","10","white_navy","91","40","51","shirt_short_only_from_style1"
