"Dest","Source","Style","SourceNum","Mode"
"¾î»õ½Å_³²","¾î»õ½Å_³²","1","0","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","2","1","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","3","2","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","4","3","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","5","4","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","6","5","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","7","6","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","8","7","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","9","8","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","10","9","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","11","10","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","12","11","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","13","12","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","14","13","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","15","14","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","16","15","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","17","16","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","18","17","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","19","18","kamishi_assassin_offset0"
"¾î»õ½Å_³²","¾î»õ½Å_³²","20","19","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","1","0","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","2","1","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","3","2","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","4","3","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","5","4","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","6","5","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","7","6","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","8","7","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","9","8","kamishi_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","10","9","kamishi_assassin_offset0"
