"Base","Style","SourceNum","Source","Dest","Mode"
"ÃÊº¸ÀÚ_³²","1","0","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_0.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_1.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","2","1","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_1.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_2.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","3","2","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_2.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_3.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","4","3","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_4.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","5","4","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_4.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_5.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","6","5","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_5.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_6.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","7","6","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_6.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_7.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","8","7","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_8.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","9","8","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_8.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_9.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","10","20","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_20.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_10.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","11","40","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_40.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_11.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","12","60","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_60.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_12.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","13","80","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_80.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_13.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","14","90","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_90.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_14.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","15","120","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_120.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_15.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","16","130","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_130.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_16.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","17","140","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_140.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_17.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","18","150","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_150.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_18.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","19","160","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_160.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_19.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_³²","20","170","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_170.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_20.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","1","0","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_0.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_1.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","2","1","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_1.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_2.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","3","2","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_2.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_3.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","4","3","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_4.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","5","4","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_4.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_5.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","6","5","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_5.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_6.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","7","6","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_6.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_7.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","8","7","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_8.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","9","8","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_8.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_9.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","10","20","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_20.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_10.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","11","40","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_40.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_11.pal","kamishi_desktop_curated"
"ÃÊº¸ÀÚ_¿©","12","60","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_¿©_60.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_12.pal","kamishi_desktop_curated"
