"Base","Style","SourceNum","Source","Dest","Mode"
"ÃÊº¸ÀÚ_³²","1","0","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_0.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_1.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","2","1","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_1.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_2.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","3","2","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_2.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_3.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","4","3","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_4.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","5","4","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_4.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_5.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","6","5","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_5.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_6.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","7","6","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_6.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_7.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","8","7","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_8.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","9","8","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_8.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_9.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","10","516","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_516.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_10.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","11","519","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_519.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_11.pal","kamishi_desktop_probe_high"
"ÃÊº¸ÀÚ_³²","12","520","C:\Users\wesley\Desktop\palette\¸ö\ÃÊº¸ÀÚ_³²_520.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_12.pal","kamishi_desktop_probe_high"
