"Dest","Source","Mapping"
"abyss_chaser_female","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"abyss_chaser_female_riding","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"abyss_chaser_male","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"abyss_chaser_male_riding","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"abyss_chaser_riding_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"abyss_chaser_riding_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"abyss_chaser_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"abyss_chaser_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"alchemist_female","¿¬±Ý¼ú»ç_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"alchemist_female_riding","¿¬±Ý¼ú»ç_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"alchemist_male","¿¬±Ý¼ú»ç_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"alchemist_male_riding","¿¬±Ý¼ú»ç_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_bishop_female","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_bishop_female_riding","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_bishop_male","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_bishop_male_riding","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_mage_female","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
