"Dest","Source","Mapping"
"abyss_chaser_female","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"abyss_chaser_female_riding","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"abyss_chaser_male","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"abyss_chaser_male_riding","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"abyss_chaser_riding_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"abyss_chaser_riding_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"abyss_chaser_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"abyss_chaser_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"alchemist_female","¿¬±Ý¼ú»ç_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"alchemist_female_riding","¿¬±Ý¼ú»ç_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"alchemist_male","¿¬±Ý¼ú»ç_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"alchemist_male_riding","¿¬±Ý¼ú»ç_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_bishop_female","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_bishop_female_riding","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_bishop_male","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_bishop_male_riding","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_female","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_female_riding","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_male","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_male_riding","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_riding_³²","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_riding_¿©","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_³²","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"arch_mage_¿©","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"archer_female","±Ã¼ö_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"archer_male","±Ã¼ö_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"bard_female","¹«Èñ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"bard_male","¹Ùµå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"biolo_female","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"biolo_female_riding","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
