"Base","Style","SourceNum","Source","Dest","Mode"
"ÃÊº¸ÀÚ_³²","1","0","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_0.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_1.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","2","1","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_1.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_2.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","3","2","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_2.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_3.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","4","3","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_4.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","5","4","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_4.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_5.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","6","5","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_5.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_6.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","7","6","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_6.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_7.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","8","7","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_8.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","9","8","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_8.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_9.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","10","9","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_9.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_10.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","11","10","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_10.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_11.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","12","11","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_11.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_12.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","13","12","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_12.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_13.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","14","13","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_13.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_14.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","15","14","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_14.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_15.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","16","15","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_15.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_16.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","17","16","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_16.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_17.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","18","17","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_17.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_18.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","19","18","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_18.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_19.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_³²","20","19","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_³²_19.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_³²_20.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","1","0","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_0.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_1.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","2","1","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_1.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_2.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","3","2","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_2.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_3.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","4","3","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_4.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","5","4","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_4.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_5.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","6","5","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_5.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_6.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","7","6","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_6.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_7.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","8","7","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_8.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","9","8","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_8.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_9.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","10","9","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_9.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_10.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","11","10","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_10.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_11.pal","kamishi_prerenew_offset0"
"ÃÊº¸ÀÚ_¿©","12","11","C:\Users\wesley\Downloads\Kamishi700Palettes\Kamishi700Palettes\Palettes\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_11.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\ÃÊº¸ÀÚ_¿©_12.pal","kamishi_prerenew_offset0"
