"Dest","Source"
"abyss_chaser_female","½¦µµ¿ìÃ¼ÀÌ¼­_¿©"
"abyss_chaser_female_riding","½¦µµ¿ìÃ¼ÀÌ¼­_¿©"
"abyss_chaser_male","½¦µµ¿ìÃ¼ÀÌ¼­_³²"
"abyss_chaser_male_riding","½¦µµ¿ìÃ¼ÀÌ¼­_³²"
"abyss_chaser_riding_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²"
"abyss_chaser_riding_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©"
"abyss_chaser_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²"
"abyss_chaser_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©"
"alchemist_female","¿¬±Ý¼ú»ç_¿©"
"alchemist_female_riding","¿¬±Ý¼ú»ç_¿©"
"alchemist_male","¿¬±Ý¼ú»ç_³²"
"alchemist_male_riding","¿¬±Ý¼ú»ç_³²"
"arch_bishop_female","¾ÆÅ©ºñ¼ó_¿©"
"arch_bishop_female_riding","¾ÆÅ©ºñ¼ó_¿©"
"arch_bishop_male","¾ÆÅ©ºñ¼ó_³²"
"arch_bishop_male_riding","¾ÆÅ©ºñ¼ó_³²"
"arch_mage_female","¿ö·Ï_¿©"
"arch_mage_female_riding","¿ö·Ï_¿©"
"arch_mage_male","¿ö·Ï_³²"
"arch_mage_male_riding","¿ö·Ï_³²"
"arch_mage_riding_³²","¿ö·Ï_³²"
"arch_mage_riding_¿©","¿ö·Ï_¿©"
"arch_mage_³²","¿ö·Ï_³²"
"arch_mage_¿©","¿ö·Ï_¿©"
"archer_female","±Ã¼ö_¿©"
"archer_male","±Ã¼ö_³²"
"bard_female","¹«Èñ_¿©"
"bard_male","¹Ùµå_³²"
"biolo_female","Á¦³×¸¯_¿©"
"biolo_female_riding","Á¦³×¸¯_¿©"
"biolo_male","Á¦³×¸¯_³²"
"biolo_male_riding","Á¦³×¸¯_³²"
"biolo_riding_³²","Á¦³×¸¯_³²"
"biolo_riding_¿©","Á¦³×¸¯_¿©"
"biolo_³²","Á¦³×¸¯_³²"
"biolo_¿©","Á¦³×¸¯_¿©"
"cardinal_female","¾ÆÅ©ºñ¼ó_¿©"
"cardinal_female_riding","¾ÆÅ©ºñ¼ó_¿©"
