"Dest","Source","Kind","Style","SourceNum","Mode"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","1","0","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","2","1","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","3","2","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","4","3","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","5","4","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","6","5","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","7","6","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","8","7","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","9","8","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","10","9","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","11","10","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","12","11","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","13","12","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","14","13","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","15","14","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","16","15","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","17","16","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","18","17","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","19","18","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","mapped_alias","20","19","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_³²","ÇÁ·ÎÆä¼­_³²","mapped_alias","1","0","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_³²","ÇÁ·ÎÆä¼­_³²","mapped_alias","2","1","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_³²","ÇÁ·ÎÆä¼­_³²","mapped_alias","3","2","kamishi_trans_second_offset0"
"¿©¿ìÇÁ·ÎÆä¼­_³²","ÇÁ·ÎÆä¼­_³²","mapped_alias","4","3","kamishi_trans_second_offset0"
