Base,White,Silver,Detail,Accent,Shadow,Neutral
'Å¸Á¶·¹ÀÎÁ®_³²,23,2,68,26,129,8
'Å¸Á¶·¹ÀÎÁ®_¿©,23,2,62,33,128,8
abyss_chaser_female,25,3,52,29,129,18
abyss_chaser_female_riding,25,3,52,29,129,18
abyss_chaser_male,24,3,46,36,129,18
abyss_chaser_male_riding,24,3,46,36,129,18
abyss_chaser_riding_³²,24,3,46,36,129,18
abyss_chaser_riding_¿©,25,3,52,29,129,18
abyss_chaser_³²,24,3,46,36,129,18
abyss_chaser_¿©,25,3,52,29,129,18
alchemist_female,27,0,81,11,130,7
alchemist_female_riding,27,0,81,11,130,7
alchemist_male,27,2,75,11,130,11
alchemist_male_riding,27,2,75,11,130,11
arch_bishop_female,27,2,75,12,129,11
arch_bishop_female_riding,27,2,75,12,129,11
arch_bishop_male,26,3,51,28,129,19
arch_bishop_male_riding,26,3,51,28,129,19
arch_mage_female,27,2,86,23,110,8
arch_mage_female_riding,27,2,86,23,110,8
arch_mage_male,27,3,78,18,117,13
arch_mage_male_riding,27,3,78,18,117,13
arch_mage_riding_³²,27,3,78,18,117,13
arch_mage_riding_¿©,27,2,86,23,110,8
arch_mage_³²,27,3,78,18,117,13
arch_mage_¿©,27,2,86,23,110,8
archer_female,27,3,75,10,129,12
archer_male,27,3,75,10,129,12
bard_female,25,6,29,36,130,30
bard_male,27,4,70,10,129,16
biolo_female,27,4,58,18,129,20
biolo_female_riding,27,4,58,18,129,20
biolo_male,26,3,63,15,130,19
biolo_male_riding,26,3,63,15,130,19
biolo_riding_³²,26,3,63,15,130,19
biolo_riding_¿©,27,4,58,18,129,20
biolo_³²,26,3,63,15,130,19
biolo_¿©,27,4,58,18,129,20
cardinal_female,27,2,75,12,129,11
cardinal_female_riding,27,2,75,12,129,11
cardinal_legacy_female,36,2,118,31,48,21
cardinal_legacy_female_riding,36,2,118,31,48,21
cardinal_legacy_male,35,2,112,38,48,21
cardinal_legacy_male_riding,36,2,118,31,48,21
cardinal_male,26,3,51,28,129,19
cardinal_male_riding,26,3,51,28,129,19
cardinal_riding_³²,26,3,51,28,129,19
cardinal_riding_¿©,27,2,75,12,129,11
cardinal_³²,26,3,51,28,129,19
cardinal_¿©,27,2,75,12,129,11
cart_summoner_³²,25,7,29,29,140,26
cart_summoner_¿©,26,6,52,16,137,19
cartsummoner_³²,25,4,58,19,135,15
cartsummoner_¿©,24,4,58,21,131,18
champion_female,27,0,87,10,129,3
champion_female_riding,27,0,87,10,129,3
champion_male,27,3,70,11,130,15
champion_male_riding,27,3,70,11,130,15
clown_male,27,4,70,10,129,16
creator_female,27,0,81,11,130,7
creator_female_riding,27,0,81,11,130,7
creator_male,27,2,75,11,130,11
creator_male_riding,27,2,75,11,130,11
crusader_female,26,2,75,12,130,11
crusader_male,26,2,75,12,130,11
dancer_female,25,6,29,36,130,30
dancer_female_riding,25,6,29,36,130,30
dancer_male,27,4,70,10,129,16
dog_guillotine_cross_female,26,4,46,28,129,23
dog_guillotine_cross_male,26,4,47,28,128,23
dog_rogue_female,27,2,75,11,130,11
dog_rogue_male,27,2,76,10,130,11
dog_shadow_chaser_female,25,3,52,29,129,18
dog_shadow_chaser_male,24,3,46,36,129,18
dog_stalker_female,26,2,75,12,130,11
dog_stalker_male,26,2,75,12,130,11
dog_thief_female,27,3,69,11,130,16
dog_thief_male,27,4,64,11,130,20
dragon_knight_chicken_³²,26,2,75,17,127,9
dragon_knight_chicken_¿©,25,2,69,21,127,12
dragon_knight_female,25,2,69,21,127,12
dragon_knight_female_riding,25,2,69,21,127,12
dragon_knight_male,26,2,75,17,127,9
dragon_knight_male_riding,26,2,75,17,127,9
dragon_knight_riding_³²,26,2,75,17,127,9
dragon_knight_riding_¿©,25,2,69,21,127,12
dragon_knight_³²,26,2,75,17,127,9
dragon_knight_¿©,25,2,69,21,127,12
elemental_master_female_riding,26,3,59,21,129,18
elemental_master_male_riding,26,3,64,19,129,15
elemetal_master_female,26,3,59,21,129,18
elemetal_master_female_riding,26,3,59,21,129,18
elemetal_master_male,26,3,64,19,129,15
elemetal_master_male_riding,26,3,64,19,129,15
elemetal_master_riding_³²,26,3,64,19,129,15
elemetal_master_riding_¿©,26,3,59,21,129,18
elemetal_master_³²,26,3,64,19,129,15
elemetal_master_¿©,26,3,59,21,129,18
frog_kagerou_male,28,3,70,17,123,15
frog_kagerou_³²,28,3,70,17,123,15
frog_ninja_female,25,4,52,23,129,23
frog_ninja_male,26,3,64,19,129,15
frog_oboro_female,28,4,57,21,123,23
frog_oboro_¿©,28,4,57,21,123,23
frog_soul_linker_female,27,3,75,9,130,12
frog_soul_linker_male,25,3,69,18,129,12
genetic_female,27,4,58,18,129,20
genetic_female_riding,27,4,58,18,129,20
genetic_male,26,3,63,15,130,19
genetic_male_riding,26,3,63,15,130,19
guillotine_cross_female,26,4,46,28,129,23
guillotine_cross_male,26,4,47,28,128,23
gunslinger_female,36,2,95,20,91,12
gunslinger_male,36,2,95,20,91,12
high_priest_female,27,0,87,10,129,3
high_priest_female_riding,27,0,87,10,129,3
high_priest_male,27,3,70,11,130,15
high_priest_male_riding,27,3,70,11,130,15
high_wizard_female,27,2,81,9,129,8
high_wizard_male,26,2,80,11,129,8
hunter_female,27,2,81,10,129,7
hunter_male,27,4,70,10,129,16
hyper_novice_female,25,3,57,25,130,16
hyper_novice_female_riding,25,3,57,25,130,16
hyper_novice_male,25,3,57,25,130,16
hyper_novice_male_riding,25,3,57,25,130,16
hyper_novice_riding_³²,25,3,57,25,130,16
hyper_novice_riding_¿©,25,3,57,25,130,16
hyper_novice_³²,25,3,57,25,130,16
hyper_novice_¿©,25,3,57,25,130,16
imperial_guard_chicken_³²,25,2,63,23,129,14
imperial_guard_chicken_¿©,25,2,63,23,129,14
imperial_guard_female,25,2,63,23,129,14
imperial_guard_female_riding,25,2,63,23,129,14
imperial_guard_male,25,2,63,23,129,14
imperial_guard_male_riding,25,2,63,23,129,14
imperial_guard_riding_³²,25,2,63,23,129,14
