Color,accent,detail,neutral,shadow,silver,white
2,120.6,55.89,28.57,17.34,33.31,14.93
3,122.65,50.84,29.31,19.25,31.21,30.92
4,120.6,45.84,28.57,19.39,26.95,30.23
5,122.65,183.05,29.31,19.23,0.0,0.0
6,120.6,75.58,28.57,16.29,32.7,25.89
7,84.78,56.9,30.58,20.52,35.27,33.08
8,64.07,55.89,26.62,17.34,32.84,15.22
9,120.6,206.15,28.57,19.38,26.93,30.09
10,122.65,180.2,29.31,19.42,0.0,0.0
11,64.07,108.55,26.62,11.47,34.33,18.77
12,114.52,89.1,27.61,19.15,30.21,30.82
13,64.07,199.09,26.62,14.55,35.69,21.23
14,122.65,55.89,29.31,19.38,26.93,30.09
15,122.65,46.13,29.31,11.76,0.0,0.0
16,120.6,139.87,28.57,20.1,37.8,34.17
17,122.65,61.07,29.31,16.29,33.79,25.65
18,84.78,82.79,30.58,11.53,33.36,15.77
19,122.65,55.89,29.31,19.46,27.54,30.52
20,84.78,179.39,30.58,19.39,0.0,0.0
