"Dest","Source","Style","SourceNum","Mode"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","1","0","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","2","1","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","3","2","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","4","3","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","5","4","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","6","5","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","7","6","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","8","7","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","9","8","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","10","9","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","11","10","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","12","11","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","13","12","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","14","13","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","15","14","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","16","15","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","17","16","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","18","17","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","19","18","pallete_local_assassin_offset0"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","20","19","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","1","0","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","2","1","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","3","2","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","4","3","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","5","4","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","6","5","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","7","6","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","8","7","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","9","8","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","10","9","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","11","10","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","12","11","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","13","12","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","14","13","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","15","14","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","16","15","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","17","16","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","18","17","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","19","18","pallete_local_assassin_offset0"
"¾î¼¼½Å_¿©","¾î¼¼½Å_¿©","20","19","pallete_local_assassin_offset0"
"assassin_male","¾î¼¼½Å_³²","1","0","pallete_local_assassin_offset0"
"assassin_male","¾î¼¼½Å_³²","2","1","pallete_local_assassin_offset0"
"assassin_male","¾î¼¼½Å_³²","3","2","pallete_local_assassin_offset0"
"assassin_male","¾î¼¼½Å_³²","4","3","pallete_local_assassin_offset0"
"assassin_male","¾î¼¼½Å_³²","5","4","pallete_local_assassin_offset0"
"assassin_male","¾î¼¼½Å_³²","6","5","pallete_local_assassin_offset0"
"assassin_male","¾î¼¼½Å_³²","7","6","pallete_local_assassin_offset0"
