"Dest","Source","Style","SourceNum","Missing"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","5","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","10","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","15","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"¾î¼¼½Å_³²","¾î¼¼½Å_³²","20","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"assassin_male","¾î¼¼½Å_³²","5","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"assassin_male","¾î¼¼½Å_³²","10","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"assassin_male","¾î¼¼½Å_³²","15","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"assassin_male","¾î¼¼½Å_³²","20","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"dog_assassin_male","¾î¼¼½Å_³²","5","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"dog_assassin_male","¾î¼¼½Å_³²","10","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"dog_assassin_male","¾î¼¼½Å_³²","15","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
"dog_assassin_male","¾î¼¼½Å_³²","20","4","C:\Users\wesley\Desktop\pallete_local_\palette\¸ö\¾î¼¼½Å_³²_4.pal"
