Base,MainIndices,Colors,Mode
'Å¸Á¶·¹ÀÎÁ®_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
'Å¸Á¶·¹ÀÎÁ®_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
abyss_chaser_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
alchemist_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
alchemist_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
alchemist_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
alchemist_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_bishop_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_bishop_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_bishop_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_bishop_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
arch_mage_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
archer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
archer_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
bard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
bard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
