Base,MainIndices,Colors
'Å¸Á¶·¹ÀÎÁ®_³²,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
'Å¸Á¶·¹ÀÎÁ®_¿©,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_female_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_male,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_male_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_riding_³²,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_riding_¿©,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_³²,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
abyss_chaser_¿©,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
alchemist_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
alchemist_female_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
alchemist_male,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
alchemist_male_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_bishop_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_bishop_female_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_bishop_male,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_bishop_male_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_female_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_male,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_male_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_riding_³²,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_riding_¿©,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_³²,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
arch_mage_¿©,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
archer_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
archer_male,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
bard_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
bard_male,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_female_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_male,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_male_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_riding_³²,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_riding_¿©,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_³²,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
biolo_¿©,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
cardinal_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
cardinal_female_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
cardinal_legacy_female,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
cardinal_legacy_female_riding,"176,177,178,179,180,181,182,183","2 red, 3 green, 4 blue, 5 gold"
