"Base","Style","Variant","ChangedEntries","Mask","BaseStyle"
"'Å¸Á¶·¹ÀÎÁ®_³²","10","red","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","11","orange","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","12","gold","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","13","green","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","14","teal","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","15","blue","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","16","purple","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","17","pink","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","18","dark","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","19","white","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_³²","20","brown","116","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","10","red","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","11","orange","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","12","gold","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","13","green","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","14","teal","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","15","blue","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","16","purple","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","17","pink","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","18","dark","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","19","white","127","8_vs_9","9"
"'Å¸Á¶·¹ÀÎÁ®_¿©","20","brown","127","8_vs_9","9"
"abyss_chaser_female","10","red","49","8_vs_9","9"
"abyss_chaser_female","11","orange","49","8_vs_9","9"
"abyss_chaser_female","12","gold","49","8_vs_9","9"
"abyss_chaser_female","13","green","49","8_vs_9","9"
