A,B,AvgWeightedDistance
2,3,27.93
1,3,29.9
10,20,31.54
1,2,34.01
4,5,34.24
16,19,34.26
5,12,34.57
8,11,35.26
12,17,35.84
4,12,37.11
15,18,37.28
8,9,37.81
8,14,37.88
5,11,37.92
12,15,38.49
11,20,39.15
12,14,39.17
14,20,40.23
5,10,40.25
10,14,40.38
13,16,40.56
4,11,40.58
11,14,41.13
4,17,41.42
5,20,41.85
11,12,43.08
5,15,43.14
9,14,43.48
4,18,44.04
8,17,44.11
4,15,44.2
8,12,44.21
5,17,44.53
11,15,44.55
16,17,44.78
5,14,45.31
2,10,45.33
5,18,45.42
5,8,45.51
13,19,46.75
8,20,47.02
9,19,48.53
9,16,48.79
2,14,48.98
1,5,49.85
14,15,50.13
11,17,50.52
10,11,50.68
2,5,51.04
1,11,51.82
9,13,52.41
13,14,52.66
1,20,52.7
10,15,52.91
9,20,53.0
2,20,53.02
10,12,53.09
3,14,53.13
11,18,53.2
12,20,53.48
8,10,53.96
3,5,54.0
4,20,54.08
3,10,54.23
10,18,54.71
9,11,55.01
2,12,55.51
8,15,56.02
3,12,56.49
1,10,56.75
8,16,57.32
12,18,57.33
3,20,57.45
9,17,57.47
1,8,58.01
2,11,58.09
12,13,58.25
4,8,58.38
1,12,58.4
15,17,58.57
3,15,58.58
9,12,58.61
1,14,58.65
15,20,58.83
3,11,59.37
1,4,59.58
14,17,59.59
13,17,59.79
2,15,60.23
17,19,60.49
2,8,60.71
5,9,60.72
3,8,61.36
18,20,62.07
5,13,62.12
4,10,62.19
9,10,62.42
4,14,62.53
5,16,63.16
12,16,63.86
17,20,64.15
3,4,66.07
8,13,66.1
1,17,66.28
13,20,66.42
10,13,66.56
1,15,66.67
2,4,67.21
1,9,67.59
14,16,68.05
2,18,68.24
3,17,68.64
14,18,68.65
1,18,68.87
2,9,69.25
6,7,69.75
3,9,69.95
2,13,70.42
8,19,70.52
3,18,70.6
16,20,71.12
10,17,71.43
11,16,71.6
2,17,71.92
8,18,72.25
3,13,72.65
14,19,73.99
4,16,74.56
12,19,74.89
17,18,75.08
4,9,75.94
11,13,76.05
1,13,76.67
10,16,77.53
1,16,77.8
5,19,78.22
4,13,78.52
9,15,78.88
3,16,79.68
2,16,80.75
19,20,81.11
11,19,81.76
13,15,82.23
15,16,87.34
4,19,88.39
1,19,88.64
3,19,90.68
2,19,91.22
10,19,91.69
9,18,94.63
13,18,97.96
15,19,102.28
16,18,102.51
1,6,103.87
2,6,104.6
3,6,106.17
5,6,110.14
6,11,110.31
6,12,110.48
6,14,110.88
6,20,111.9
6,8,111.94
6,10,113.21
4,6,114.57
6,17,115.6
6,15,116.61
6,9,116.8
18,19,118.58
6,13,120.64
6,18,120.79
6,16,122.32
2,7,123.05
3,7,123.82
7,14,125.78
1,7,125.92
7,8,127.98
6,19,128.83
7,12,129.06
7,11,130.45
7,10,130.69
7,9,130.79
7,20,130.97
5,7,131.41
7,15,133.16
7,17,134.16
7,13,134.96
4,7,137.45
7,16,137.92
7,18,142.17
7,19,143.18
