A,B,AvgWeightedDistance
1,2,34.14
8,14,34.18
11,14,35.97
4,16,36.34
4,17,36.4
1,20,36.66
7,17,36.76
15,17,37.01
4,15,37.15
8,17,37.15
3,5,37.23
3,8,37.25
3,15,37.89
4,10,37.93
3,4,38.4
9,10,38.64
3,16,38.99
11,17,39.85
7,10,40.41
4,11,40.56
15,16,41.02
11,16,41.94
6,9,42.07
12,13,42.21
18,19,42.25
8,11,42.37
9,17,43.23
9,15,43.35
10,11,44.81
5,14,44.91
4,7,44.92
10,17,45.06
3,14,45.53
7,11,45.53
8,15,45.98
7,9,45.99
4,13,46.12
5,16,46.48
14,16,46.83
16,17,47.35
6,7,48.38
3,11,48.57
3,17,48.76
10,16,49.43
8,9,49.93
10,15,50.06
2,19,51.28
7,15,52.03
8,16,52.08
4,8,52.26
19,20,52.75
13,17,52.87
3,10,53.3
7,12,53.77
3,9,54.23
9,12,54.36
10,13,54.45
4,9,54.59
14,17,54.85
7,8,55.18
13,15,55.49
1,19,55.86
10,12,55.87
13,16,56.8
2,18,57.06
9,16,57.25
12,17,57.29
6,17,57.35
2,20,57.6
7,13,57.84
5,8,58.45
11,13,58.51
7,16,58.52
3,13,58.64
11,15,58.99
5,11,59.8
9,11,60.03
6,10,60.21
4,14,61.05
4,5,61.18
8,10,61.52
11,12,61.52
5,15,62.29
3,7,62.88
9,13,63.16
14,15,64.06
8,13,64.26
8,12,65.03
6,12,65.34
9,14,65.36
4,12,65.55
10,14,65.83
6,15,66.43
7,14,67.06
12,15,70.17
6,8,71.06
4,6,71.33
13,14,71.51
5,17,72.01
12,16,72.55
12,14,73.12
3,12,73.16
5,10,73.27
5,13,77.22
6,13,78.28
6,11,79.17
5,9,80.19
1,18,81.23
3,6,82.24
6,16,84.45
18,20,85.96
5,7,88.0
5,12,92.21
6,14,92.58
12,20,103.2
13,20,104.6
1,12,104.83
1,13,105.81
17,20,107.48
12,19,108.03
10,20,108.27
13,19,108.54
4,20,109.82
17,19,109.95
11,20,110.02
11,19,110.99
9,20,111.07
1,17,111.09
7,20,111.67
1,10,111.82
1,4,111.93
4,19,112.29
5,6,112.55
7,19,112.55
8,20,112.6
15,20,113.16
10,19,113.43
16,20,113.45
1,9,113.59
1,11,114.34
1,15,114.61
3,20,114.65
8,19,114.69
1,7,114.99
2,13,115.06
1,8,115.56
1,3,115.86
1,16,116.03
16,19,116.04
15,19,116.38
2,12,116.39
9,19,117.1
14,20,117.27
3,19,117.62
14,19,118.68
6,20,118.75
1,14,120.79
1,6,121.61
2,4,122.54
2,17,123.15
6,19,124.04
2,10,124.81
2,11,125.28
2,15,125.46
5,20,125.89
2,16,125.92
2,3,126.09
2,7,126.69
2,8,127.15
1,5,127.42
2,9,127.58
5,19,128.11
13,18,128.94
12,18,131.0
2,14,131.11
17,18,134.25
4,18,134.38
11,18,134.4
2,5,135.74
2,6,135.94
7,18,136.21
16,18,137.38
10,18,137.98
8,18,138.17
15,18,138.33
3,18,138.9
14,18,140.85
9,18,142.31
5,18,146.95
6,18,149.2
