"Base","Style","Mode","ChangedEntries"
"alchemist_female_riding","1","generated_from_2_4_mask","59"
"alchemist_female_riding","3","generated_from_2_4_mask","59"
"alchemist_female_riding","5","generated_from_2_4_mask","59"
"alchemist_female_riding","6","generated_from_2_4_mask","59"
"alchemist_female_riding","7","generated_from_2_4_mask","59"
"alchemist_female_riding","8","generated_from_2_4_mask","59"
"alchemist_female_riding","9","generated_from_2_4_mask","59"
"alchemist_female_riding","10","generated_from_2_4_mask","59"
"alchemist_female_riding","11","generated_from_2_4_mask","59"
"alchemist_female_riding","12","generated_from_2_4_mask","59"
"alchemist_female_riding","13","generated_from_2_4_mask","59"
"alchemist_female_riding","14","generated_from_2_4_mask","59"
"alchemist_female_riding","15","generated_from_2_4_mask","59"
"alchemist_female_riding","16","generated_from_2_4_mask","59"
"alchemist_female_riding","17","generated_from_2_4_mask","59"
"alchemist_female_riding","18","generated_from_2_4_mask","59"
"alchemist_female_riding","19","generated_from_2_4_mask","59"
"alchemist_female_riding","20","generated_from_2_4_mask","59"
"alchemist_male","1","generated_from_2_4_mask","63"
"alchemist_male","3","generated_from_2_4_mask","63"
"alchemist_male","5","generated_from_2_4_mask","63"
"alchemist_male","6","generated_from_2_4_mask","63"
"alchemist_male","7","generated_from_2_4_mask","63"
"alchemist_male","8","generated_from_2_4_mask","63"
"alchemist_male","9","generated_from_2_4_mask","63"
"alchemist_male","10","generated_from_2_4_mask","63"
"alchemist_male","11","generated_from_2_4_mask","63"
"alchemist_male","12","generated_from_2_4_mask","63"
"alchemist_male","13","generated_from_2_4_mask","63"
"alchemist_male","14","generated_from_2_4_mask","63"
"alchemist_male","15","generated_from_2_4_mask","63"
"alchemist_male","16","generated_from_2_4_mask","63"
"alchemist_male","17","generated_from_2_4_mask","63"
"alchemist_male","18","generated_from_2_4_mask","63"
"alchemist_male","19","generated_from_2_4_mask","63"
"alchemist_male","20","generated_from_2_4_mask","63"
"alchemist_male_riding","1","generated_from_2_4_mask","63"
"alchemist_male_riding","3","generated_from_2_4_mask","63"
"alchemist_male_riding","5","generated_from_2_4_mask","63"
"alchemist_male_riding","6","generated_from_2_4_mask","63"
"alchemist_male_riding","7","generated_from_2_4_mask","63"
"alchemist_male_riding","8","generated_from_2_4_mask","63"
"alchemist_male_riding","9","generated_from_2_4_mask","63"
"alchemist_male_riding","10","generated_from_2_4_mask","63"
"alchemist_male_riding","11","generated_from_2_4_mask","63"
"alchemist_male_riding","12","generated_from_2_4_mask","63"
"alchemist_male_riding","13","generated_from_2_4_mask","63"
"alchemist_male_riding","14","generated_from_2_4_mask","63"
"alchemist_male_riding","15","generated_from_2_4_mask","63"
"alchemist_male_riding","16","generated_from_2_4_mask","63"
"alchemist_male_riding","17","generated_from_2_4_mask","63"
"alchemist_male_riding","18","generated_from_2_4_mask","63"
"alchemist_male_riding","19","generated_from_2_4_mask","63"
"alchemist_male_riding","20","generated_from_2_4_mask","63"
"archer_female","1","generated_from_2_4_mask","35"
"archer_female","3","generated_from_2_4_mask","35"
"archer_female","5","generated_from_2_4_mask","35"
"archer_female","6","generated_from_2_4_mask","35"
"archer_female","7","generated_from_2_4_mask","35"
"archer_female","8","generated_from_2_4_mask","35"
"archer_female","9","generated_from_2_4_mask","35"
"archer_female","10","generated_from_2_4_mask","35"
"archer_female","11","generated_from_2_4_mask","35"
"archer_female","12","generated_from_2_4_mask","35"
"archer_female","13","generated_from_2_4_mask","35"
"archer_female","14","generated_from_2_4_mask","35"
"archer_female","15","generated_from_2_4_mask","35"
"archer_female","16","generated_from_2_4_mask","35"
"archer_female","17","generated_from_2_4_mask","35"
"archer_female","18","generated_from_2_4_mask","35"
"archer_female","19","generated_from_2_4_mask","35"
"archer_female","20","generated_from_2_4_mask","35"
"archer_male","1","generated_from_2_4_mask","42"
"archer_male","3","generated_from_2_4_mask","42"
"archer_male","5","generated_from_2_4_mask","42"
"archer_male","6","generated_from_2_4_mask","42"
"archer_male","7","generated_from_2_4_mask","42"
"archer_male","8","generated_from_2_4_mask","42"
"archer_male","9","generated_from_2_4_mask","42"
"archer_male","10","generated_from_2_4_mask","42"
"archer_male","11","generated_from_2_4_mask","42"
