"Dest","Source","Copied","Styles","Pack"
"alchemist_female","¿¬±Ý¼ú»ç_¿©","19","1..20","PreRenew"
"alchemist_female_riding","¿¬±Ý¼ú»ç_¿©","20","1..20","PreRenew"
"alchemist_male","¿¬±Ý¼ú»ç_³²","20","1..20","PreRenew"
"alchemist_male_riding","¿¬±Ý¼ú»ç_³²","20","1..20","PreRenew"
"archer_female","±Ã¼ö_¿©","20","1..20","PreRenew"
"archer_male","±Ã¼ö_³²","20","1..20","PreRenew"
"bard_female","¹«Èñ_¿©","20","1..20","PreRenew"
"bard_male","¹Ùµå_³²","20","1..20","PreRenew"
"champion_female","Ã¨ÇÇ¿Â_¿©","20","1..20","PreRenew"
"champion_female_riding","Ã¨ÇÇ¿Â_¿©","20","1..20","PreRenew"
"champion_male","Ã¨ÇÇ¿Â_³²","20","1..20","PreRenew"
"champion_male_riding","Ã¨ÇÇ¿Â_³²","20","1..20","PreRenew"
"clown_male","Å©¶ó¿î_³²","20","1..20","PreRenew"
"creator_female","Å©¸®¿¡ÀÌÅÍ_¿©","20","1..20","PreRenew"
"creator_female_riding","Å©¸®¿¡ÀÌÅÍ_¿©","20","1..20","PreRenew"
"creator_male","Å©¸®¿¡ÀÌÅÍ_³²","20","1..20","PreRenew"
"creator_male_riding","Å©¸®¿¡ÀÌÅÍ_³²","20","1..20","PreRenew"
"crusader_female","Å©·ç_¿©","20","1..20","PreRenew"
"crusader_male","Å©·ç_³²","20","1..20","PreRenew"
"dancer_female","¹«Èñ_¿©","20","1..20","PreRenew"
"dancer_female_riding","¹«Èñ_¿©","20","1..20","PreRenew"
"dancer_male","¹Ùµå_³²","20","1..20","PreRenew"
"dog_rogue_female","·Î±×_¿©","20","1..20","PreRenew"
"dog_rogue_male","·Î±×_³²","20","1..20","PreRenew"
"dog_stalker_female","½ºÅäÄ¿_¿©","20","1..20","PreRenew"
"dog_stalker_male","½ºÅäÄ¿_³²","20","1..20","PreRenew"
"dog_thief_female","µµµÏ_¿©","20","1..20","PreRenew"
"dog_thief_male","µµµÏ_³²","20","1..20","PreRenew"
"high_priest_female","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","20","1..20","PreRenew"
"high_priest_female_riding","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","20","1..20","PreRenew"
"high_priest_male","ÇÏÀÌÇÁ¸®½ºÆ®_³²","20","1..20","PreRenew"
"high_priest_male_riding","ÇÏÀÌÇÁ¸®½ºÆ®_³²","20","1..20","PreRenew"
"high_wizard_female","ÇÏÀÌÀ§Àúµå_¿©","20","1..20","PreRenew"
"high_wizard_male","ÇÏÀÌÀ§Àúµå_³²","20","1..20","PreRenew"
"hunter_female","ÇåÅÍ_¿©","20","1..20","PreRenew"
"hunter_male","ÇåÅÍ_³²","20","1..20","PreRenew"
"knight_female","±â»ç_¿©","20","1..20","PreRenew"
"knight_male","±â»ç_³²","20","1..20","PreRenew"
"lion_crusader_female","Å©·ç_¿©","20","1..20","PreRenew"
"lion_crusader_male","Å©·ç_³²","20","1..20","PreRenew"
"lion_knight_female","±â»ç_¿©","20","1..20","PreRenew"
"lion_knight_male","±â»ç_³²","20","1..20","PreRenew"
"lion_lord_knight_female","·Îµå³ªÀÌÆ®_¿©","20","1..20","PreRenew"
"lion_lord_knight_male","·Îµå³ªÀÌÆ®_³²","20","1..20","PreRenew"
"lion_paladin_female","ÆÈ¶óµò_¿©","20","1..20","PreRenew"
