"Base","Style","Variant","ChangedEntries","Mask","BaseStyle"
"alchemist_female_riding","4","red","59","1_vs_3","1"
"alchemist_female_riding","5","orange","59","1_vs_3","1"
"alchemist_female_riding","6","gold","59","1_vs_3","1"
"alchemist_female_riding","7","green","59","1_vs_3","1"
"alchemist_female_riding","8","teal","59","1_vs_3","1"
"alchemist_female_riding","9","blue","59","1_vs_3","1"
"alchemist_female_riding","10","purple","59","1_vs_3","1"
"alchemist_female_riding","11","pink","59","1_vs_3","1"
"alchemist_female_riding","12","dark","59","1_vs_3","1"
"alchemist_female_riding","13","white","59","1_vs_3","1"
"alchemist_female_riding","14","brown","59","1_vs_3","1"
"alchemist_female_riding","15","sky","59","1_vs_3","1"
"alchemist_female_riding","16","rose","59","1_vs_3","1"
"alchemist_female_riding","17","mint","59","1_vs_3","1"
"alchemist_female_riding","18","peach","59","1_vs_3","1"
"alchemist_female_riding","19","navy","59","1_vs_3","1"
"alchemist_female_riding","20","wine","59","1_vs_3","1"
"alchemist_male","4","red","63","1_vs_3","1"
"alchemist_male","5","orange","63","1_vs_3","1"
"alchemist_male","6","gold","63","1_vs_3","1"
"alchemist_male","7","green","63","1_vs_3","1"
"alchemist_male","8","teal","63","1_vs_3","1"
"alchemist_male","9","blue","63","1_vs_3","1"
"alchemist_male","10","purple","63","1_vs_3","1"
"alchemist_male","11","pink","63","1_vs_3","1"
"alchemist_male","12","dark","63","1_vs_3","1"
"alchemist_male","13","white","63","1_vs_3","1"
"alchemist_male","14","brown","63","1_vs_3","1"
"alchemist_male","15","sky","63","1_vs_3","1"
"alchemist_male","16","rose","63","1_vs_3","1"
"alchemist_male","17","mint","63","1_vs_3","1"
"alchemist_male","18","peach","63","1_vs_3","1"
"alchemist_male","19","navy","63","1_vs_3","1"
"alchemist_male","20","wine","63","1_vs_3","1"
"alchemist_male_riding","4","red","63","1_vs_3","1"
"alchemist_male_riding","5","orange","63","1_vs_3","1"
"alchemist_male_riding","6","gold","63","1_vs_3","1"
"alchemist_male_riding","7","green","63","1_vs_3","1"
"alchemist_male_riding","8","teal","63","1_vs_3","1"
"alchemist_male_riding","9","blue","63","1_vs_3","1"
"alchemist_male_riding","10","purple","63","1_vs_3","1"
"alchemist_male_riding","11","pink","63","1_vs_3","1"
"alchemist_male_riding","12","dark","63","1_vs_3","1"
"alchemist_male_riding","13","white","63","1_vs_3","1"
"alchemist_male_riding","14","brown","63","1_vs_3","1"
"alchemist_male_riding","15","sky","63","1_vs_3","1"
"alchemist_male_riding","16","rose","63","1_vs_3","1"
"alchemist_male_riding","17","mint","63","1_vs_3","1"
"alchemist_male_riding","18","peach","63","1_vs_3","1"
"alchemist_male_riding","19","navy","63","1_vs_3","1"
"alchemist_male_riding","20","wine","63","1_vs_3","1"
"archer_female","4","red","35","1_vs_3","1"
"archer_female","5","orange","35","1_vs_3","1"
"archer_female","6","gold","35","1_vs_3","1"
"archer_female","7","green","35","1_vs_3","1"
"archer_female","8","teal","35","1_vs_3","1"
"archer_female","9","blue","35","1_vs_3","1"
"archer_female","10","purple","35","1_vs_3","1"
"archer_female","11","pink","35","1_vs_3","1"
"archer_female","12","dark","35","1_vs_3","1"
"archer_female","13","white","35","1_vs_3","1"
"archer_female","14","brown","35","1_vs_3","1"
"archer_female","15","sky","35","1_vs_3","1"
"archer_female","16","rose","35","1_vs_3","1"
"archer_female","17","mint","35","1_vs_3","1"
"archer_female","18","peach","35","1_vs_3","1"
"archer_female","19","navy","35","1_vs_3","1"
"archer_female","20","wine","35","1_vs_3","1"
"archer_male","4","red","42","1_vs_3","1"
"archer_male","5","orange","42","1_vs_3","1"
"archer_male","6","gold","42","1_vs_3","1"
"archer_male","7","green","42","1_vs_3","1"
"archer_male","8","teal","42","1_vs_3","1"
"archer_male","9","blue","42","1_vs_3","1"
"archer_male","10","purple","42","1_vs_3","1"
"archer_male","11","pink","42","1_vs_3","1"
"archer_male","12","dark","42","1_vs_3","1"
"archer_male","13","white","42","1_vs_3","1"
"archer_male","14","brown","42","1_vs_3","1"
"archer_male","15","sky","42","1_vs_3","1"
"archer_male","16","rose","42","1_vs_3","1"
"archer_male","17","mint","42","1_vs_3","1"
"archer_male","18","peach","42","1_vs_3","1"
"archer_male","19","navy","42","1_vs_3","1"
"archer_male","20","wine","42","1_vs_3","1"
"bard_female","4","red","31","1_vs_3","1"
"bard_female","5","orange","31","1_vs_3","1"
"bard_female","6","gold","31","1_vs_3","1"
"bard_female","7","green","31","1_vs_3","1"
"bard_female","8","teal","31","1_vs_3","1"
"bard_female","9","blue","31","1_vs_3","1"
"bard_female","10","purple","31","1_vs_3","1"
"bard_female","11","pink","31","1_vs_3","1"
"bard_female","12","dark","31","1_vs_3","1"
"bard_female","13","white","31","1_vs_3","1"
"bard_female","14","brown","31","1_vs_3","1"
"bard_female","15","sky","31","1_vs_3","1"
"bard_female","16","rose","31","1_vs_3","1"
"bard_female","17","mint","31","1_vs_3","1"
"bard_female","18","peach","31","1_vs_3","1"
"bard_female","19","navy","31","1_vs_3","1"
"bard_female","20","wine","31","1_vs_3","1"
"bard_male","4","red","47","1_vs_3","1"
"bard_male","5","orange","47","1_vs_3","1"
