"Base","Style","CopiedFrom","Mode"
"alchemist_female","2","4","safe_cycle_4_5"
"alchemist_female","6","4","safe_cycle_4_5"
"alchemist_female","7","5","safe_cycle_4_5"
"alchemist_female","8","4","safe_cycle_4_5"
"alchemist_female","9","5","safe_cycle_4_5"
"alchemist_female","10","4","safe_cycle_4_5"
"alchemist_female","11","5","safe_cycle_4_5"
"alchemist_female","12","4","safe_cycle_4_5"
"alchemist_female","13","5","safe_cycle_4_5"
"alchemist_female","14","4","safe_cycle_4_5"
"alchemist_female","15","5","safe_cycle_4_5"
"alchemist_female","16","4","safe_cycle_4_5"
"alchemist_female","17","5","safe_cycle_4_5"
"alchemist_female","18","4","safe_cycle_4_5"
"alchemist_female","19","5","safe_cycle_4_5"
"alchemist_female","20","4","safe_cycle_4_5"
"alchemist_female_riding","2","4","safe_cycle_4_5"
"alchemist_female_riding","6","4","safe_cycle_4_5"
"alchemist_female_riding","7","5","safe_cycle_4_5"
"alchemist_female_riding","8","4","safe_cycle_4_5"
"alchemist_female_riding","9","5","safe_cycle_4_5"
"alchemist_female_riding","10","4","safe_cycle_4_5"
"alchemist_female_riding","11","5","safe_cycle_4_5"
"alchemist_female_riding","12","4","safe_cycle_4_5"
"alchemist_female_riding","13","5","safe_cycle_4_5"
"alchemist_female_riding","14","4","safe_cycle_4_5"
"alchemist_female_riding","15","5","safe_cycle_4_5"
"alchemist_female_riding","16","4","safe_cycle_4_5"
"alchemist_female_riding","17","5","safe_cycle_4_5"
"alchemist_female_riding","18","4","safe_cycle_4_5"
"alchemist_female_riding","19","5","safe_cycle_4_5"
"alchemist_female_riding","20","4","safe_cycle_4_5"
"alchemist_male","2","4","safe_cycle_4_5"
"alchemist_male","6","4","safe_cycle_4_5"
"alchemist_male","7","5","safe_cycle_4_5"
"alchemist_male","8","4","safe_cycle_4_5"
"alchemist_male","9","5","safe_cycle_4_5"
"alchemist_male","10","4","safe_cycle_4_5"
"alchemist_male","11","5","safe_cycle_4_5"
"alchemist_male","12","4","safe_cycle_4_5"
"alchemist_male","13","5","safe_cycle_4_5"
"alchemist_male","14","4","safe_cycle_4_5"
"alchemist_male","15","5","safe_cycle_4_5"
"alchemist_male","16","4","safe_cycle_4_5"
