Base,Colors,Sources
'Å¸Á¶·¹ÀÎÁ®_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
'Å¸Á¶·¹ÀÎÁ®_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
abyss_chaser_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
alchemist_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
alchemist_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
alchemist_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
alchemist_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_bishop_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_bishop_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_bishop_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_bishop_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
arch_mage_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
archer_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
archer_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
bard_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
bard_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
biolo_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_legacy_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_legacy_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_legacy_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_legacy_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cardinal_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cart_summoner_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cart_summoner_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cartsummoner_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
cartsummoner_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
champion_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
champion_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
champion_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
champion_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
clown_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
creator_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
creator_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
creator_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
creator_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
crusader_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
crusader_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dancer_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dancer_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dancer_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_guillotine_cross_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_guillotine_cross_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_rogue_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_rogue_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_shadow_chaser_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_shadow_chaser_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_stalker_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_stalker_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_thief_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dog_thief_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_chicken_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_chicken_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
dragon_knight_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemental_master_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemental_master_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
elemetal_master_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_kagerou_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_kagerou_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_ninja_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_ninja_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_oboro_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_oboro_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_soul_linker_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
frog_soul_linker_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
genetic_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
genetic_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
genetic_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
