Base,Colors,Sources
'Å¸Á¶·¹ÀÎÁ®_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
'Å¸Á¶·¹ÀÎÁ®_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
abyss_chaser_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
alchemist_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
alchemist_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
alchemist_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
alchemist_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_bishop_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_bishop_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_bishop_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_bishop_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
arch_mage_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
archer_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
archer_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
bard_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
bard_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
biolo_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
biolo_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
biolo_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
biolo_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
biolo_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
biolo_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
