Base,WhiteIndices,Indices
'Å¸Á¶·¹ÀÎÁ®_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
'Å¸Á¶·¹ÀÎÁ®_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
abyss_chaser_female,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
abyss_chaser_female_riding,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
abyss_chaser_male,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
abyss_chaser_male_riding,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
abyss_chaser_riding_³²,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
abyss_chaser_riding_¿©,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
abyss_chaser_³²,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
abyss_chaser_¿©,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
alchemist_female,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
alchemist_female_riding,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
alchemist_male,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
alchemist_male_riding,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
arch_bishop_female,11,"1,120,121,128,129,216,217,224,232,233,240"
arch_bishop_female_riding,11,"1,120,121,128,129,216,217,224,232,233,240"
arch_bishop_male,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
arch_bishop_male_riding,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
arch_mage_female,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
arch_mage_female_riding,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
arch_mage_male,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
arch_mage_male_riding,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
arch_mage_riding_³²,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
arch_mage_riding_¿©,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
arch_mage_³²,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
arch_mage_¿©,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
archer_female,14,"1,8,9,48,72,73,128,129,200,208,216,224,232,233"
archer_male,13,"1,8,9,72,73,128,129,200,208,216,224,232,233"
bard_female,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
bard_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
biolo_female,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
biolo_female_riding,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
biolo_male,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
biolo_male_riding,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
biolo_riding_³²,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
biolo_riding_¿©,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
biolo_³²,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
biolo_¿©,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
cardinal_female,11,"1,120,121,128,129,216,217,224,232,233,240"
cardinal_female_riding,11,"1,120,121,128,129,216,217,224,232,233,240"
cardinal_legacy_female,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
