Base,WhiteCloth,DetailRed,DetailGold,DetailPurple,DetailGreen,Keep,Special
'Å¸Á¶·¹ÀÎÁ®_³²,11,1,1,10,40,192,1
'Å¸Á¶·¹ÀÎÁ®_¿©,12,1,1,10,30,201,1
abyss_chaser_female,15,1,2,3,43,191,1
abyss_chaser_female_riding,15,1,2,3,43,191,1
abyss_chaser_male,16,2,2,6,33,196,1
abyss_chaser_male_riding,16,2,2,6,33,196,1
abyss_chaser_riding_³²,16,2,2,6,33,196,1
abyss_chaser_riding_¿©,15,1,2,3,43,191,1
abyss_chaser_³²,16,2,2,6,33,196,1
abyss_chaser_¿©,15,1,2,3,43,191,1
alchemist_female,14,0,2,0,76,163,1
alchemist_female_riding,14,0,2,0,76,163,1
alchemist_male,14,0,2,0,53,186,1
alchemist_male_riding,14,0,2,0,53,186,1
arch_bishop_female,11,0,2,0,67,175,1
arch_bishop_female_riding,11,0,2,0,67,175,1
arch_bishop_male,12,1,2,13,43,184,1
arch_bishop_male_riding,12,1,2,13,43,184,1
arch_mage_female,17,2,3,7,52,174,1
arch_mage_female_riding,17,2,3,7,52,174,1
arch_mage_male,17,3,3,10,47,175,1
arch_mage_male_riding,17,3,3,10,47,175,1
arch_mage_riding_³²,17,3,3,10,47,175,1
arch_mage_riding_¿©,17,2,3,7,52,174,1
arch_mage_³²,17,3,3,10,47,175,1
arch_mage_¿©,17,2,3,7,52,174,1
archer_female,13,0,1,9,49,183,1
archer_male,13,0,2,3,52,185,1
bard_female,12,1,2,13,9,218,1
bard_male,13,1,2,3,48,188,1
biolo_female,16,1,2,7,53,176,1
biolo_female_riding,16,1,2,7,53,176,1
biolo_male,14,1,2,10,52,176,1
biolo_male_riding,14,1,2,10,52,176,1
biolo_riding_³²,14,1,2,10,52,176,1
biolo_riding_¿©,16,1,2,7,53,176,1
biolo_³²,14,1,2,10,52,176,1
biolo_¿©,16,1,2,7,53,176,1
cardinal_female,11,0,2,0,67,175,1
cardinal_female_riding,11,0,2,0,67,175,1
cardinal_legacy_female,13,1,2,11,38,190,1
cardinal_legacy_female_riding,13,1,2,11,38,190,1
cardinal_legacy_male,15,1,2,14,28,195,1
cardinal_legacy_male_riding,13,1,2,11,38,190,1
cardinal_male,12,1,2,13,43,184,1
cardinal_male_riding,12,1,2,13,43,184,1
cardinal_riding_³²,12,1,2,13,43,184,1
cardinal_riding_¿©,11,0,2,0,67,175,1
cardinal_³²,12,1,2,13,43,184,1
cardinal_¿©,11,0,2,0,67,175,1
cart_summoner_³²,17,2,2,9,38,187,1
cart_summoner_¿©,21,1,2,13,36,182,1
cartsummoner_³²,16,2,2,7,38,190,1
cartsummoner_¿©,19,1,2,0,36,197,1
champion_female,10,1,1,0,133,110,1
champion_female_riding,10,1,1,0,133,110,1
champion_male,18,1,2,3,47,184,1
champion_male_riding,18,1,2,3,47,184,1
clown_male,13,1,2,3,48,188,1
creator_female,14,0,2,0,76,163,1
creator_female_riding,14,0,2,0,76,163,1
creator_male,14,0,2,0,53,186,1
creator_male_riding,14,0,2,0,53,186,1
crusader_female,17,1,2,4,66,165,1
crusader_male,19,1,2,9,60,164,1
dancer_female,12,1,2,13,9,218,1
dancer_female_riding,12,1,2,13,9,218,1
dancer_male,13,1,2,3,48,188,1
dog_guillotine_cross_female,19,1,2,6,41,186,1
dog_guillotine_cross_male,18,1,2,6,27,201,1
dog_rogue_female,16,0,2,0,52,185,1
dog_rogue_male,13,0,2,0,63,177,1
dog_shadow_chaser_female,15,1,2,3,43,191,1
dog_shadow_chaser_male,16,2,2,6,33,196,1
dog_stalker_female,17,1,2,4,66,165,1
dog_stalker_male,19,1,2,9,60,164,1
dog_thief_female,12,0,2,3,59,179,1
dog_thief_male,17,1,2,7,38,190,1
dragon_knight_chicken_³²,19,1,2,7,65,161,1
dragon_knight_chicken_¿©,19,1,2,7,41,185,1
dragon_knight_female,19,1,2,7,41,185,1
dragon_knight_female_riding,19,1,2,7,41,185,1
dragon_knight_male,19,1,2,7,65,161,1
dragon_knight_male_riding,19,1,2,7,65,161,1
dragon_knight_riding_³²,19,1,2,7,65,161,1
dragon_knight_riding_¿©,19,1,2,7,41,185,1
dragon_knight_³²,19,1,2,7,65,161,1
dragon_knight_¿©,19,1,2,7,41,185,1
elemental_master_female_riding,19,1,2,0,36,197,1
elemental_master_male_riding,16,2,2,7,38,190,1
elemetal_master_female,19,1,2,0,36,197,1
elemetal_master_female_riding,19,1,2,0,36,197,1
elemetal_master_male,16,2,2,7,38,190,1
elemetal_master_male_riding,16,2,2,7,38,190,1
elemetal_master_riding_³²,16,2,2,7,38,190,1
elemetal_master_riding_¿©,19,1,2,0,36,197,1
elemetal_master_³²,16,2,2,7,38,190,1
elemetal_master_¿©,19,1,2,0,36,197,1
frog_kagerou_male,13,1,2,11,37,191,1
frog_kagerou_³²,13,1,2,11,37,191,1
frog_ninja_female,12,1,2,14,28,198,1
frog_ninja_male,13,1,2,11,37,191,1
frog_oboro_female,12,1,2,14,28,198,1
frog_oboro_¿©,12,1,2,14,28,198,1
frog_soul_linker_female,19,0,2,7,41,186,1
frog_soul_linker_male,15,1,1,6,55,177,1
genetic_female,16,1,2,7,53,176,1
genetic_female_riding,16,1,2,7,53,176,1
genetic_male,14,1,2,10,52,176,1
genetic_male_riding,14,1,2,10,52,176,1
guillotine_cross_female,19,1,2,6,41,186,1
guillotine_cross_male,18,1,2,6,27,201,1
gunslinger_female,16,1,2,3,52,181,1
gunslinger_male,16,1,2,3,52,181,1
high_priest_female,10,1,1,0,128,115,1
high_priest_female_riding,10,1,1,0,128,115,1
high_priest_male,18,1,2,3,47,184,1
high_priest_male_riding,18,1,2,3,47,184,1
high_wizard_female,20,0,2,0,65,168,1
high_wizard_male,14,0,2,0,58,181,1
hunter_female,12,0,2,0,72,169,1
hunter_male,13,1,2,3,48,188,1
hyper_novice_female,16,0,2,6,43,188,1
hyper_novice_female_riding,16,0,2,6,43,188,1
hyper_novice_male,16,0,2,6,43,188,1
hyper_novice_male_riding,16,0,2,6,43,188,1
hyper_novice_riding_³²,16,0,2,6,43,188,1
hyper_novice_riding_¿©,16,0,2,6,43,188,1
hyper_novice_³²,16,0,2,6,43,188,1
hyper_novice_¿©,16,0,2,6,43,188,1
imperial_guard_chicken_³²,14,1,2,7,48,183,1
imperial_guard_chicken_¿©,17,1,2,7,42,186,1
imperial_guard_female,17,1,2,7,42,186,1
imperial_guard_female_riding,17,1,2,7,42,186,1
imperial_guard_male,14,1,2,7,48,183,1
imperial_guard_male_riding,14,1,2,7,48,183,1
imperial_guard_riding_³²,14,1,2,7,48,183,1
imperial_guard_riding_¿©,17,1,2,7,42,186,1
imperial_guard_³²,14,1,2,7,48,183,1
imperial_guard_¿©,17,1,2,7,42,186,1
inquisitor_female,15,1,2,7,58,172,1
inquisitor_female_riding,15,1,2,7,58,172,1
inquisitor_male,16,1,2,7,53,176,1
inquisitor_male_riding,16,1,2,7,53,176,1
inquisitor_riding_³²,16,1,2,7,53,176,1
inquisitor_riding_¿©,15,1,2,7,58,172,1
inquisitor_³²,16,1,2,7,53,176,1
inquisitor_¿©,15,1,2,7,58,172,1
kagerou_male,13,1,2,11,37,191,1
kagerou_³²,13,1,2,11,37,191,1
knight_female,17,1,2,4,66,165,1
knight_male,19,1,2,9,60,164,1
lion_crusader_female,17,1,2,4,66,165,1
lion_crusader_male,19,1,2,9,60,164,1
lion_knight_female,17,1,2,4,66,165,1
lion_knight_male,19,1,2,9,60,164,1
lion_lord_knight_female,17,1,2,4,66,165,1
lion_lord_knight_male,19,1,2,9,60,164,1
lion_paladin_female,17,1,2,4,66,165,1
lion_paladin_male,19,1,2,9,60,164,1
lion_royal_guard_female,17,1,2,7,42,186,1
lion_royal_guard_male,14,1,2,7,48,183,1
lion_rune_knight_female,19,1,2,7,41,185,1
lion_rune_knight_male,19,1,2,7,65,161,1
lord_knight_female,17,1,2,4,66,165,1
lord_knight_male,19,1,2,9,60,164,1
magician_female,17,1,2,6,38,191,1
magician_male,22,1,2,3,50,177,1
mechanic_female,16,2,2,10,48,177,1
mechanic_female_madogear,16,2,2,10,48,177,1
mechanic_female_riding,16,2,2,10,48,177,1
mechanic_male,16,2,2,10,38,187,1
mechanic_male_madogear,16,2,2,10,38,187,1
mechanic_male_riding,16,2,2,10,38,187,1
meister_female,16,2,2,10,48,177,1
meister_female_madogear1,16,2,2,10,48,177,1
meister_female_madogear2,16,2,2,10,48,177,1
meister_female_riding,16,2,2,10,48,177,1
meister_madogear1_³²,16,2,2,10,38,187,1
meister_madogear1_¿©,16,2,2,10,48,177,1
meister_madogear2_³²,16,2,2,10,38,187,1
meister_madogear2_¿©,16,2,2,10,48,177,1
meister_male,16,2,2,10,38,187,1
meister_male_madogear1,16,2,2,10,38,187,1
meister_male_madogear2,16,2,2,10,38,187,1
meister_male_riding,16,2,2,10,38,187,1
