Base,Color,Changed,AvgDelta,MaxDelta,TopChangedIndices
sorcerer_male,1,163,149.7,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,0:329,226:318,210:309,243:306"
sorcerer_male,2,163,142.2,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,0:329,226:318,210:309,243:306"
sorcerer_male,3,163,146.2,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,0:329,226:318,210:309,243:306"
sorcerer_male,4,169,147.4,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,0:329,226:318,210:309,243:306"
mechanic_male,1,137,159.0,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
mechanic_male,2,137,156.2,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
mechanic_male,3,137,158.4,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
mechanic_male,4,169,148.0,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
dragon_knight_male,1,149,153.5,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,0:329,226:318,210:309,243:306"
dragon_knight_male,2,149,151.0,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,0:329,226:318,210:309,243:306"
dragon_knight_male,3,149,152.9,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,0:329,226:318,210:309,243:306"
dragon_knight_male,4,192,173.7,433.1,"176:433,16:426,32:426,208:414,224:414,177:413,17:398,33:398,178:394,24:386,80:386,104:386,152:386,184:386,209:379,225:379,179:375,18:366"
