"To","From","Reason","OldCount","OldMax"
"¸ùÅ©¾ËÆÄÄ«_¿©","¸ùÅ©_¿©","substring","4","3"
"¸ùÅ©¾ËÆÄÄ«_³²","¸ùÅ©_³²","substring","5","4"
"¿©¿ì¸¶¹ý»ç_¿©","¸¶¹ý»ç_¿©","substring","5","4"
"¿©¿ì¸¶¹ý»ç_³²","¸¶¹ý»ç_³²","substring","5","4"
"¿©¿ì¿ö·Ï_¿©","¿ö·Ï_¿©","substring","8","7"
"¿©¿ì¿ö·Ï_³²","¿ö·Ï_³²","substring","8","7"
"¿©¿ì¼¼ÀÌÁö_¿©","¼¼ÀÌÁö_¿©","substring","4","3"
"¿©¿ì¼¼ÀÌÁö_³²","¼¼ÀÌÁö_³²","substring","5","4"
"¿©¿ì¼Ò¼­·¯_¿©","¼Ò¼­·¯_¿©","substring","8","7"
"¿©¿ì¼Ò¼­·¯_³²","¼Ò¼­·¯_³²","substring","8","7"
"¿©¿ìÀ§Àúµå_¿©","À§Àúµå_¿©","substring","5","4"
"¿©¿ìÀ§Àúµå_³²","À§Àúµå_³²","substring","5","4"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","substring","4","3"
"¿©¿ìÇÁ·ÎÆä¼­_³²","ÇÁ·ÎÆä¼­_³²","substring","4","3"
"¿©¿ìÇÏÀÌÀ§Àúµå_¿©","ÇÏÀÌÀ§Àúµå_¿©","substring","4","3"
"¿©¿ìÇÏÀÌÀ§Àúµå_³²","ÇÏÀÌÀ§Àúµå_³²","substring","4","3"
"¿¬±Ý¼ú»ç¸äµÅÁö_¿©","¿¬±Ý¼ú»ç_¿©","substring","5","4"
"¿¬±Ý¼ú»ç¸äµÅÁö_³²","¿¬±Ý¼ú»ç_³²","substring","5","4"
"±Ç¼ºÀ¶ÇÕ_¿©","±Ç¼º_¿©","substring","8","7"
"±Ç¼ºÀ¶ÇÕ_³²","±Ç¼º_³²","substring","8","7"
"±Ç¼ºÆ÷¸µ_¿©","±Ç¼º_¿©","substring","8","7"
"±Ç¼ºÆ÷¸µ_³²","±Ç¼º_³²","substring","8","7"
"»çÀÚ±â»ç_¿©","±â»ç_¿©","substring","5","4"
"»çÀÚ±â»ç_³²","±â»ç_³²","substring","5","4"
"»çÀÚ·é³ªÀÌÆ®_¿©","·é³ªÀÌÆ®_¿©","substring","8","7"
"»çÀÚ·é³ªÀÌÆ®_³²","·é³ªÀÌÆ®_³²","substring","8","7"
"»çÀÚ·Îµå³ªÀÌÆ®_¿©","·Îµå³ªÀÌÆ®_¿©","substring","5","4"
"»çÀÚ·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","substring","5","4"
"»çÀÚ·Î¾â°¡µå_¿©","·Î¾â°¡µå_¿©","substring","8","7"
"»çÀÚ·Î¾â°¡µå_³²","·Î¾â°¡µå_³²","substring","8","7"
