"Base","OldCount","OldMax"
"±×¸®Æù°¡µå_¿©","8","7"
"±×¸®Æù°¡µå_³²","8","7"
"°¡µå_¿©","4","3"
"°¡µå_³²","4","3"
"·ÎµåÆäÄÚ_¿©","4","3"
"·ÎµåÆäÄÚ_³²","4","3"
"·Îº¸_¿©","4","3"
"·Îº¸_³²","4","3"
"³ëºñ½ºÆ÷¸µ_¿©","9","8"
"³ëºñ½ºÆ÷¸µ_³²","9","8"
"Å¸Á¶Â¤½Ã_¿©","4","3"
"Å¸Á¶Â¤½Ã_³²","4","3"
"Å¸Á¶Å©¶ó¿î_¿©","4","3"
"Å©¶ó¿î_¿©","4","3"
"ÄÌº£·Î½º¾î½ê½Å_¿©","5","4"
"ÄÌº£·Î½º¾î½ê½Å_³²","5","4"
"ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º_¿©","4","3"
"ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º_³²","4","3"
"Áý½Ã_³²","4","3"
"dancer_b_riding_¿©","4","3"
"hanbok_¿©","8","7"
"hanbok_³²","8","7"
"º¹»ç¾ËÆÄÄ«_¿©","5","4"
"º¹»ç¾ËÆÄÄ«_³²","5","4"
"oktoberfest_¿©","8","7"
"oktoberfest_³²","8","7"
"peco_rebellion_¿©","8","7"
"peco_rebellion_³²","8","7"
"santa_¿©","8","7"
"santa_³²","8","7"
"summer_¿©","8","7"
"summer_³²","8","7"
"summer2_¿©","8","7"
"summer2_³²","8","7"
