"Base","Status","OldCount","OldMin","OldMax","NewCount","NewMin","NewMax","OldHas520","NewHas520","OldHas699","NewHas699"
"´í¼­_¿©","both","700","0","699","700","0","699","True","True","True","True"
"´ÑÀÚ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"´ÑÀÚ_³²","both","700","0","699","700","0","699","True","True","True","True"
"¸®º§¸®¿Â_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¸®º§¸®¿Â_³²","both","700","0","699","700","0","699","True","True","True","True"
"¸¶¹ý»ç_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¸¶¹ý»ç_³²","both","700","0","699","700","0","699","True","True","True","True"
"¸ùÅ©_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¸ùÅ©_³²","both","700","0","699","700","0","699","True","True","True","True"
"¸ùÅ©¾ËÆÄÄ«_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¸ùÅ©¾ËÆÄÄ«_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿©¿ì¸¶¹ý»ç_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿©¿ì¸¶¹ý»ç_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿©¿ì¿ö·Ï_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¿©¿ì¿ö·Ï_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¿©¿ì¼¼ÀÌÁö_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¿©¿ì¼¼ÀÌÁö_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿©¿ì¼Ò¼­·¯_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¿©¿ì¼Ò¼­·¯_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¿©¿ìÀ§Àúµå_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿©¿ìÀ§Àúµå_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¿©¿ìÇÁ·ÎÆä¼­_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¿©¿ìÇÏÀÌÀ§Àúµå_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¿©¿ìÇÏÀÌÀ§Àúµå_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¿¬±Ý¼ú»ç_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¿¬±Ý¼ú»ç_³²","both","700","0","699","700","0","699","True","True","True","True"
"¿¬±Ý¼ú»ç¸äµÅÁö_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿¬±Ý¼ú»ç¸äµÅÁö_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"¿ïÇÁ·¹ÀÎÀú_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¿ïÇÁ·¹ÀÎÀú_³²","both","700","0","699","700","0","699","True","True","True","True"
"¿ø´õ·¯_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¿ø´õ·¯_³²","both","700","0","699","700","0","699","True","True","True","True"
"¿ö·Ï_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¿ö·Ï_³²","both","700","0","699","700","0","699","True","True","True","True"
"±×¸®Æù°¡µå_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"±×¸®Æù°¡µå_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"±×¸®Æù·Î¾â_¿©","both","700","0","699","700","0","699","True","True","True","True"
"±×¸®Æù·Î¾â_³²","both","700","0","699","700","0","699","True","True","True","True"
"±â»ç_¿©","both","700","0","699","700","0","699","True","True","True","True"
"±â»ç_³²","both","700","0","699","700","0","699","True","True","True","True"
"±Ã¼ö_¿©","both","700","0","699","700","0","699","True","True","True","True"
"±Ã¼ö_³²","both","700","0","699","700","0","699","True","True","True","True"
"±æ·ÎÆ¾Å©·Î½º_¿©","both","700","0","699","700","0","699","True","True","True","True"
"±æ·ÎÆ¾Å©·Î½º_³²","both","700","0","699","700","0","699","True","True","True","True"
"±Ç¼º_¿©","both","700","0","699","700","0","699","True","True","True","True"
"±Ç¼º_³²","both","700","0","699","700","0","699","True","True","True","True"
"±Ç¼ºÀ¶ÇÕ_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"±Ç¼ºÀ¶ÇÕ_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"±Ç¼ºÆ÷¸µ_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"±Ç¼ºÆ÷¸µ_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"»çÀÚ±â»ç_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"»çÀÚ±â»ç_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"»çÀÚ·é³ªÀÌÆ®_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"»çÀÚ·é³ªÀÌÆ®_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"»çÀÚ·Îµå³ªÀÌÆ®_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"»çÀÚ·Îµå³ªÀÌÆ®_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"»çÀÚ·Î¾â°¡µå_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"»çÀÚ·Î¾â°¡µå_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
