"Legacy","Canonical","Colors"
"´ÑÀÚ_¿©","ninja_female","0..699"
"´ÑÀÚ_³²","ninja_male","0..699"
"¸¶¹ý»ç_¿©","magician_female","0..699"
"¸¶¹ý»ç_³²","magician_male","0..699"
"¸ùÅ©_¿©","monk_female","0..699"
"¸ùÅ©_³²","monk_male","0..699"
"¸ùÅ©¾ËÆÄÄ«_¿©","monk_female_riding","0..699"
"¸ùÅ©¾ËÆÄÄ«_³²","monk_male_riding","0..699"
"¿©¿ì¸¶¹ý»ç_¿©","trans_magician_female","0..699"
"¿©¿ì¸¶¹ý»ç_³²","trans_magician_male","0..699"
"¿©¿ì¿ö·Ï_¿©","trans_warlock_female","0..699"
"¿©¿ì¿ö·Ï_³²","trans_warlock_male","0..699"
"¿©¿ì¼¼ÀÌÁö_¿©","trans_sage_female","0..699"
"¿©¿ì¼¼ÀÌÁö_³²","trans_sage_male","0..699"
"¿©¿ì¼Ò¼­·¯_¿©","trans_sorcerer_female","0..699"
"¿©¿ì¼Ò¼­·¯_³²","trans_sorcerer_male","0..699"
"¿©¿ìÀ§Àúµå_¿©","trans_wizard_female","0..699"
"¿©¿ìÀ§Àúµå_³²","trans_wizard_male","0..699"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","trans_professor_female","0..699"
"¿©¿ìÇÁ·ÎÆä¼­_³²","trans_professor_male","0..699"
"¿©¿ìÇÏÀÌÀ§Àúµå_¿©","trans_high_wizard_female","0..699"
"¿©¿ìÇÏÀÌÀ§Àúµå_³²","trans_high_wizard_male","0..699"
"¿¬±Ý¼ú»ç_¿©","alchemist_female","0..699"
"¿¬±Ý¼ú»ç_³²","alchemist_male","0..699"
"¿¬±Ý¼ú»ç¸äµÅÁö_¿©","alchemist_female_riding","0..699"
"¿¬±Ý¼ú»ç¸äµÅÁö_³²","alchemist_male_riding","0..699"
"¿ø´õ·¯_¿©","wanderer_female","0..699"
"¿ö·Ï_¿©","warlock_female","0..699"
"¿ö·Ï_³²","warlock_male","0..699"
"±â»ç_¿©","knight_female","0..699"
"±â»ç_³²","knight_male","0..699"
"±Ã¼ö_¿©","archer_female","0..699"
"±Ã¼ö_³²","archer_male","0..699"
"±æ·ÎÆ¾Å©·Î½º_¿©","guillotine_cross_female","0..699"
"±æ·ÎÆ¾Å©·Î½º_³²","guillotine_cross_male","0..699"
"±Ç¼º_¿©","summoner_female","0..699"
"±Ç¼º_³²","summoner_male","0..699"
"±Ç¼ºÀ¶ÇÕ_¿©","summoner_female_riding","0..699"
"±Ç¼ºÀ¶ÇÕ_³²","summoner_male_riding","0..699"
"±Ç¼ºÆ÷¸µ_¿©","summoner_female_riding","0..699"
"±Ç¼ºÆ÷¸µ_³²","summoner_male_riding","0..699"
"»çÀÚ±â»ç_¿©","lion_knight_female","0..699"
"»çÀÚ±â»ç_³²","lion_knight_male","0..699"
"»çÀÚ·é³ªÀÌÆ®_¿©","lion_rune_knight_female","0..699"
"»çÀÚ·é³ªÀÌÆ®_³²","lion_rune_knight_male","0..699"
"»çÀÚ·Îµå³ªÀÌÆ®_¿©","lion_lord_knight_female","0..699"
"»çÀÚ·Îµå³ªÀÌÆ®_³²","lion_lord_knight_male","0..699"
"»çÀÚ·Î¾â°¡µå_¿©","lion_royal_guard_female","0..699"
"»çÀÚ·Î¾â°¡µå_³²","lion_royal_guard_male","0..699"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©","lion_crusader_female","0..699"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_³²","lion_crusader_male","0..699"
"»çÀÚÆÈ¶óµò_¿©","lion_paladin_female","0..699"
"»çÀÚÆÈ¶óµò_³²","lion_paladin_male","0..699"
"»óÀÎ_¿©","merchant_female","0..699"
"»óÀÎ_³²","merchant_male","0..699"
"»óÀÎ¸äµÅÁö_¿©","merchant_female_riding","0..699"
"»óÀÎ¸äµÅÁö_³²","merchant_male_riding","0..699"
"°Ç³Ê_¿©","gunslinger_female","0..699"
"°Ç³Ê_³²","gunslinger_male","0..699"
"°Ë»ç_¿©","swordman_female","0..699"
"°Ë»ç_³²","swordman_male","0..699"
"µµµÏ_¿©","thief_female","0..699"
"µµµÏ_³²","thief_male","0..699"
"µÎ²¨ºñ´ÑÀÚ_¿©","frog_ninja_female","0..699"
"µÎ²¨ºñ´ÑÀÚ_³²","frog_ninja_male","0..699"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©","frog_soul_linker_female","0..699"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²","frog_soul_linker_male","0..699"
"·é³ªÀÌÆ®_¿©","rune_knight_female","0..699"
"·é³ªÀÌÆ®_³²","rune_knight_male","0..699"
"·é³ªÀÌÆ®»Ú¶ì_¿©","rune_knight_female_riding","0..699"
"·é³ªÀÌÆ®»Ú¶ì_³²","rune_knight_male_riding","0..699"
"·Î±×_¿©","rogue_female","0..699"
"·Î±×_³²","rogue_male","0..699"
"·Îµå³ªÀÌÆ®_¿©","lord_knight_female","0..699"
"·Îµå³ªÀÌÆ®_³²","lord_knight_male","0..699"
"·Î¾â°¡µå_¿©","royal_guard_female","0..699"
"·Î¾â°¡µå_³²","royal_guard_male","0..699"
"¼¼ÀÌÁö_¿©","sage_female","0..699"
"¼¼ÀÌÁö_³²","sage_male","0..699"
"¼Ò¿ï¸µÄ¿_¿©","soul_linker_female","0..699"
"¼Ò¿ï¸µÄ¿_³²","soul_linker_male","0..699"
"¼Ò¼­·¯_¿©","sorcerer_female","0..699"
"¼Ò¼­·¯_³²","sorcerer_male","0..699"
"¼ºÁ¦_¿©","cardinal_legacy_female","0..699"
"¼ºÁ¦_¿©_Å»°Í","cardinal_legacy_female_riding","0..699"
"¼ºÁ¦_³²","cardinal_legacy_male","0..699"
"¼ºÁ¦_³²_Å»°Í","cardinal_legacy_male_riding","0..699"
"¼ºÁ¦À¶ÇÕ_¿©","cardinal_legacy_female_riding","0..699"
"¼ºÁ¦À¶ÇÕ_³²","cardinal_legacy_male_riding","0..699"
"½¦µµ¿ìÃ¼ÀÌ¼­_¿©","shadow_chaser_female","0..699"
"½¦µµ¿ìÃ¼ÀÌ¼­_³²","shadow_chaser_male","0..699"
"½´¶ó_¿©","sura_female","0..699"
"½´¶ó_³²","sura_male","0..699"
"½´¶ó¾ËÆÄÄ«_¿©","sura_female_riding","0..699"
"½´¶ó¾ËÆÄÄ«_³²","sura_male_riding","0..699"
"½´ÆÛ³ëºñ½º_¿©","super_novice_female","0..699"
"½´ÆÛ³ëºñ½º_³²","super_novice_male","0..699"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©","super_novice_female_riding","0..699"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_³²","super_novice_male_riding","0..699"
"½º³ªÀÌÆÛ_¿©","sniper_female","0..699"
"½º³ªÀÌÆÛ_³²","sniper_male","0..699"
"½ºÅäÄ¿_¿©","stalker_female","0..699"
"½ºÅäÄ¿_³²","stalker_male","0..699"
"¾ÆÅ©ºñ¼ó_¿©","arch_bishop_female","0..699"
"¾ÆÅ©ºñ¼ó_³²","arch_bishop_male","0..699"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©","arch_bishop_female_riding","0..699"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²","arch_bishop_male_riding","0..699"
"¹«Èñ_¿©","dancer_female","0..699"
"¹«Èñ_³²","dancer_male","0..699"
"¹«Èñ¹ÙÁö_¿©","dancer_female_riding","0..699"
"¹Î½ºÆ®·²_³²","minstrel_male","0..699"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©","mechanic_female_madogear","0..699"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²","mechanic_male_madogear","0..699"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©","mechanic_female_madogear","0..699"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²","mechanic_male_madogear","0..699"
"¹ÌÄÉ´Ð_¿©","mechanic_female","0..699"
"¹ÌÄÉ´Ð_³²","mechanic_male","0..699"
"¹ÌÄÉ´Ð¸äµÅÁö_¿©","mechanic_female_riding","0..699"
"¹ÌÄÉ´Ð¸äµÅÁö_³²","mechanic_male_riding","0..699"
"¹Ùµå_¿©","bard_female","0..699"
"¹Ùµå_³²","bard_male","0..699"
"Á¦³×¸¯_¿©","genetic_female","0..699"
"Á¦³×¸¯_³²","genetic_male","0..699"
"Á¦³×¸¯¸äµÅÁö_¿©","genetic_female_riding","0..699"
"Á¦³×¸¯¸äµÅÁö_³²","genetic_male_riding","0..699"
"Á¦Ã¶°ø_¿©","rebellion_female","0..699"
"Á¦Ã¶°ø_³²","rebellion_male","0..699"
"Á¦Ã¶°ø¸äµÅÁö_¿©","rebellion_female_riding","0..699"
"Á¦Ã¶°ø¸äµÅÁö_³²","rebellion_male_riding","0..699"
"Ã¨ÇÇ¿Â_¿©","champion_female","0..699"
"Ã¨ÇÇ¿Â_³²","champion_male","0..699"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©","champion_female_riding","0..699"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²","champion_male_riding","0..699"
"Å¸Á¶¿ø´õ·¯_¿©","ostrich_wanderer_female","0..699"
"Å¸Á¶±Ã¼ö_¿©","ostrich_archer_female","0..699"
"Å¸Á¶±Ã¼ö_³²","ostrich_archer_male","0..699"
"Å¸Á¶½º³ªÀÌÆÛ_¿©","ostrich_sniper_female","0..699"
"Å¸Á¶½º³ªÀÌÆÛ_³²","ostrich_sniper_male","0..699"
"Å¸Á¶¹«Èñ_¿©","ostrich_dancer_female","0..699"
"Å¸Á¶¹«Èñ_³²","ostrich_dancer_male","0..699"
"Å¸Á¶¹Î½ºÆ®·²_³²","ostrich_minstrel_male","0..699"
"Å¸Á¶¹Ùµå_¿©","ostrich_bard_female","0..699"
"Å¸Á¶¹Ùµå_³²","ostrich_bard_male","0..699"
"Å¸Á¶Å©¶ó¿î_³²","ostrich_clown_male","0..699"
"Å¸Á¶ÇåÅÍ_¿©","ostrich_hunter_female","0..699"
"Å¸Á¶ÇåÅÍ_³²","ostrich_hunter_male","0..699"
"À§Àúµå_¿©","wizard_female","0..699"
"À§Àúµå_³²","wizard_male","0..699"
"Å©¸®¿¡ÀÌÅÍ_¿©","creator_female","0..699"
"Å©¸®¿¡ÀÌÅÍ_³²","creator_male","0..699"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©","creator_female_riding","0..699"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²","creator_male_riding","0..699"
"Å©¶ó¿î_³²","clown_male","0..699"
"Å©·ç_¿©","crusader_female","0..699"
"Å©·ç_³²","crusader_male","0..699"
"ÅÂ±Ç¼Ò³â_¿©","taekwon_female","0..699"
"ÅÂ±Ç¼Ò³â_³²","taekwon_male","0..699"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_¿©","taekwon_female_riding","0..699"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_³²","taekwon_male_riding","0..699"
"abyss_chaser_¿©","abyss_chaser_female","0..699"
"abyss_chaser_³²","abyss_chaser_male","0..699"
"abyss_chaser_riding_¿©","abyss_chaser_female_riding","0..699"
"abyss_chaser_riding_³²","abyss_chaser_male_riding","0..699"
"ÆäÄÚ°Ç³Ê_¿©","peco_gunslinger_female","0..699"
"ÆäÄÚ°Ç³Ê_³²","peco_gunslinger_male","0..699"
"ÆäÄÚ°Ë»ç_¿©","peco_swordman_female","0..699"
"ÆäÄÚ°Ë»ç_³²","peco_swordman_male","0..699"
