"Legacy","Source","Canonical","Colors"
"meister_madogear1_¿©","meister_¿©","meister_female_madogear1","0..699"
"cardinal_riding_³²","cardinal_³²","cardinal_male_riding","0..699"
"½´¶ó¾ËÆÄÄ«_¿©","½´¶ó_¿©","sura_female_riding","0..699"
"inquisitor_riding_¿©","inquisitor_¿©","inquisitor_female_riding","0..699"
"Å¸Á¶¿ø´õ·¯_¿©","¿ø´õ·¯_¿©","ostrich_wanderer_female","0..699"
"elemetal_master_riding_³²","elemetal_master_³²","elemental_master_male_riding","0..699"
"frog_oboro_¿©","oboro_¿©","frog_oboro_female","0..699"
"cardinal_riding_¿©","cardinal_¿©","cardinal_female_riding","0..699"
"»óÀÎ¸äµÅÁö_¿©","»óÀÎ_¿©","merchant_female_riding","0..699"
"frog_kagerou_³²","kagerou_³²","frog_kagerou_male","0..699"
"Å¸Á¶¹Ùµå_³²","¹Ùµå_³²","ostrich_bard_male","0..699"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_¿©","ÅÂ±Ç¼Ò³â_¿©","taekwon_female_riding","0..699"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²","Ã¨ÇÇ¿Â_³²","champion_male_riding","0..699"
"¿©¿ìÇÏÀÌÀ§Àúµå_¿©","ÇÏÀÌÀ§Àúµå_¿©","trans_high_wizard_female","0..699"
"¿©¿ìÀ§Àúµå_³²","À§Àúµå_³²","trans_wizard_male","0..699"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©","Ã¨ÇÇ¿Â_¿©","champion_female_riding","0..699"
"biolo_riding_¿©","biolo_¿©","biolo_female_riding","0..699"
"dragon_knight_riding_³²","dragon_knight_³²","dragon_knight_male_riding","0..699"
"biolo_riding_³²","biolo_³²","biolo_male_riding","0..699"
"¿©¿ì¼¼ÀÌÁö_¿©","¼¼ÀÌÁö_¿©","trans_sage_female","0..699"
"night_watch_riding_¿©","night_watch_¿©","night_watch_female_riding","0..699"
"¿©¿ìÇÏÀÌÀ§Àúµå_³²","ÇÏÀÌÀ§Àúµå_³²","trans_high_wizard_male","0..699"
"arch_mage_riding_³²","arch_mage_³²","arch_mage_male_riding","0..699"
"»çÀÚ·Î¾â°¡µå_³²","·Î¾â°¡µå_³²","lion_royal_guard_male","0..699"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","ÇÁ·ÎÆä¼­_¿©","trans_professor_female","0..699"
"µÎ²¨ºñ´ÑÀÚ_¿©","´ÑÀÚ_¿©","frog_ninja_female","0..699"
"shadow_cross_riding_¿©","shadow_cross_¿©","shadow_cross_female_riding","0..699"
"Å¸Á¶ÇåÅÍ_¿©","ÇåÅÍ_¿©","ostrich_hunter_female","0..699"
"»çÀÚ·é³ªÀÌÆ®_¿©","·é³ªÀÌÆ®_¿©","lion_rune_knight_female","0..699"
"ÄÌº£·Î½ºµµµÏ_³²","µµµÏ_³²","dog_thief_male","0..699"
"±Ç¼ºÀ¶ÇÕ_¿©","±Ç¼º_¿©","summoner_female_riding","0..699"
"ÄÌº£·Î½ºµµµÏ_¿©","µµµÏ_¿©","dog_thief_female","0..699"
"hyper_novice_riding_¿©","hyper_novice_¿©","hyper_novice_female_riding","0..699"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","ÇÁ¸®½ºÆ®_³²","priest_male_riding","0..699"
"meister_riding_³²","meister_³²","meister_male_riding","0..699"
"¿©¿ì¼Ò¼­·¯_¿©","elemetal_master_¿©","trans_sorcerer_female","0..699"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©","¾ÆÅ©ºñ¼ó_¿©","arch_bishop_female_riding","0..699"
"¿©¿ì¼Ò¼­·¯_³²","elemetal_master_³²","trans_sorcerer_male","0..699"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","high_priest_female_riding","0..699"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²","¹ÌÄÉ´Ð_³²","mechanic_male_madogear","0..699"
"ÆäÄÚ°Ç³Ê_³²","°Ç³Ê_³²","peco_gunslinger_male","0..699"
"¼Ò¼­·¯_¿©","elemetal_master_¿©","sorcerer_female","0..699"
"imperial_guard_riding_³²","imperial_guard_³²","imperial_guard_male_riding","0..699"
"ÄÌº£·Î½º·Î±×_¿©","·Î±×_¿©","dog_rogue_female","0..699"
"ÄÌº£·Î½º½ºÅäÄ¿_¿©","½ºÅäÄ¿_¿©","dog_stalker_female","0..699"
"Å¸Á¶½º³ªÀÌÆÛ_³²","½º³ªÀÌÆÛ_³²","ostrich_sniper_male","0..699"
"¸ùÅ©¾ËÆÄÄ«_¿©","¸ùÅ©_¿©","monk_female_riding","0..699"
"»çÀÚ·é³ªÀÌÆ®_³²","·é³ªÀÌÆ®_³²","lion_rune_knight_male","0..699"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²","¹ÌÄÉ´Ð_³²","mechanic_male_madogear","0..699"
"»çÀÚÆÈ¶óµò_³²","ÆÈ¶óµò_³²","lion_paladin_male","0..699"
"¼ºÁ¦_³²_Å»°Í","¼ºÁ¦_¿©","cardinal_legacy_male_riding","0..699"
