"Base","Missing","SourceNumber","Source","Created"
"'Å¸Á¶·¹ÀÎÁ®_³²","4","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_4.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","5","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_5.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","6","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_6.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","7","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_7.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","8","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_8.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","9","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_9.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","10","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_10.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","11","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_11.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","12","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_12.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","13","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_13.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","14","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_14.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","15","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_15.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","16","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_16.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","17","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_17.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","18","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_18.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","19","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_19.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","20","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_20.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","21","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_21.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","22","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_22.pal"
