"Base","Missing","SourceNumber","Source","Created"
"hanbok_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\hanbok_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\hanbok_³²_8.pal"
"hanbok_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\hanbok_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\hanbok_¿©_8.pal"
"oktoberfest_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\oktoberfest_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\oktoberfest_³²_8.pal"
"oktoberfest_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\oktoberfest_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\oktoberfest_¿©_8.pal"
"santa_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\santa_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\santa_³²_8.pal"
"santa_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\santa_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\santa_¿©_8.pal"
"spirit_handler_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_riding_³²_8.pal"
"spirit_handler_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_riding_¿©_8.pal"
"spirit_handler_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_³²_8.pal"
"spirit_handler_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\spirit_handler_¿©_8.pal"
"summer2_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer2_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer2_³²_8.pal"
"summer2_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer2_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer2_¿©_8.pal"
"summer_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer_³²_8.pal"
"summer_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\summer_¿©_8.pal"
"°áÈ¥_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°áÈ¥_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°áÈ¥_³²_8.pal"
"°áÈ¥_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°áÈ¥_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°áÈ¥_¿©_8.pal"
"°í¾çÀÌÄ«Æ®_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°í¾çÀÌÄ«Æ®_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°í¾çÀÌÄ«Æ®_³²_8.pal"
"°í¾çÀÌÄ«Æ®_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°í¾çÀÌÄ«Æ®_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\°í¾çÀÌÄ«Æ®_¿©_8.pal"
"¹¦Á·_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\¹¦Á·_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\¹¦Á·_³²_8.pal"
"¹¦Á·_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\¹¦Á·_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\µµ¶÷Á·\body\¹¦Á·_¿©_8.pal"
