"Base","Style","Range","Mode"
"Á¦Ã¶°ø_¿©","2","16..19","fine_probe"
"Á¦Ã¶°ø_¿©","3","20..23","fine_probe"
"Á¦Ã¶°ø_¿©","4","24..27","fine_probe"
"Á¦Ã¶°ø_¿©","5","28..31","fine_probe"
"Á¦Ã¶°ø_¿©","6","32..35","fine_probe"
"Á¦Ã¶°ø_¿©","7","36..39","fine_probe"
"Á¦Ã¶°ø_¿©","8","40..43","fine_probe"
"Á¦Ã¶°ø_¿©","9","44..47","fine_probe"
"Á¦Ã¶°ø_¿©","10","48..51","fine_probe"
"Á¦Ã¶°ø_¿©","11","52..55","fine_probe"
"Á¦Ã¶°ø_¿©","12","56..59","fine_probe"
"Á¦Ã¶°ø_¿©","13","60..63","fine_probe"
"Á¦Ã¶°ø_³²","2","16..19","fine_probe"
"Á¦Ã¶°ø_³²","3","20..23","fine_probe"
"Á¦Ã¶°ø_³²","4","24..27","fine_probe"
"Á¦Ã¶°ø_³²","5","28..31","fine_probe"
"Á¦Ã¶°ø_³²","6","32..35","fine_probe"
"Á¦Ã¶°ø_³²","7","36..39","fine_probe"
"Á¦Ã¶°ø_³²","8","40..43","fine_probe"
"Á¦Ã¶°ø_³²","9","44..47","fine_probe"
"Á¦Ã¶°ø_³²","10","48..51","fine_probe"
"Á¦Ã¶°ø_³²","11","52..55","fine_probe"
"Á¦Ã¶°ø_³²","12","56..59","fine_probe"
"Á¦Ã¶°ø_³²","13","60..63","fine_probe"
"whitesmith_female","2","16..19","fine_probe"
"whitesmith_female","3","20..23","fine_probe"
"whitesmith_female","4","24..27","fine_probe"
"whitesmith_female","5","28..31","fine_probe"
"whitesmith_female","6","32..35","fine_probe"
"whitesmith_female","7","36..39","fine_probe"
"whitesmith_female","8","40..43","fine_probe"
"whitesmith_female","9","44..47","fine_probe"
"whitesmith_female","10","48..51","fine_probe"
"whitesmith_female","11","52..55","fine_probe"
"whitesmith_female","12","56..59","fine_probe"
"whitesmith_female","13","60..63","fine_probe"
"whitesmith_male","2","16..19","fine_probe"
"whitesmith_male","3","20..23","fine_probe"
"whitesmith_male","4","24..27","fine_probe"
"whitesmith_male","5","28..31","fine_probe"
"whitesmith_male","6","32..35","fine_probe"
"whitesmith_male","7","36..39","fine_probe"
"whitesmith_male","8","40..43","fine_probe"
"whitesmith_male","9","44..47","fine_probe"
"whitesmith_male","10","48..51","fine_probe"
"whitesmith_male","11","52..55","fine_probe"
"whitesmith_male","12","56..59","fine_probe"
"whitesmith_male","13","60..63","fine_probe"
"whitesmith_female_riding","2","16..19","fine_probe"
"whitesmith_female_riding","3","20..23","fine_probe"
"whitesmith_female_riding","4","24..27","fine_probe"
"whitesmith_female_riding","5","28..31","fine_probe"
"whitesmith_female_riding","6","32..35","fine_probe"
"whitesmith_female_riding","7","36..39","fine_probe"
"whitesmith_female_riding","8","40..43","fine_probe"
"whitesmith_female_riding","9","44..47","fine_probe"
"whitesmith_female_riding","10","48..51","fine_probe"
"whitesmith_female_riding","11","52..55","fine_probe"
"whitesmith_female_riding","12","56..59","fine_probe"
"whitesmith_female_riding","13","60..63","fine_probe"
"whitesmith_male_riding","2","16..19","fine_probe"
"whitesmith_male_riding","3","20..23","fine_probe"
"whitesmith_male_riding","4","24..27","fine_probe"
"whitesmith_male_riding","5","28..31","fine_probe"
"whitesmith_male_riding","6","32..35","fine_probe"
"whitesmith_male_riding","7","36..39","fine_probe"
"whitesmith_male_riding","8","40..43","fine_probe"
"whitesmith_male_riding","9","44..47","fine_probe"
"whitesmith_male_riding","10","48..51","fine_probe"
"whitesmith_male_riding","11","52..55","fine_probe"
"whitesmith_male_riding","12","56..59","fine_probe"
"whitesmith_male_riding","13","60..63","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","2","16..19","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","3","20..23","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","4","24..27","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","5","28..31","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","6","32..35","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","7","36..39","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","8","40..43","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","9","44..47","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","10","48..51","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","11","52..55","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","12","56..59","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","13","60..63","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","2","16..19","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","3","20..23","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","4","24..27","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","5","28..31","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","6","32..35","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","7","36..39","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","8","40..43","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","9","44..47","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","10","48..51","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","11","52..55","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","12","56..59","fine_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","13","60..63","fine_probe"
"merchant_female","2","16..19","fine_probe"
"merchant_female","3","20..23","fine_probe"
"merchant_female","4","24..27","fine_probe"
"merchant_female","5","28..31","fine_probe"
"merchant_female","6","32..35","fine_probe"
"merchant_female","7","36..39","fine_probe"
"merchant_female","8","40..43","fine_probe"
"merchant_female","9","44..47","fine_probe"
"merchant_female","10","48..51","fine_probe"
"merchant_female","11","52..55","fine_probe"
"merchant_female","12","56..59","fine_probe"
"merchant_female","13","60..63","fine_probe"
"merchant_male","2","16..19","fine_probe"
"merchant_male","3","20..23","fine_probe"
"merchant_male","4","24..27","fine_probe"
"merchant_male","5","28..31","fine_probe"
"merchant_male","6","32..35","fine_probe"
"merchant_male","7","36..39","fine_probe"
"merchant_male","8","40..43","fine_probe"
"merchant_male","9","44..47","fine_probe"
