"Base","Style","Range","Color","Mode"
"Á¦Ã¶°ø_¿©","2","0..15","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","3","16..31","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","4","32..47","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","5","48..63","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","6","64..79","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","7","80..95","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","8","96..111","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","9","112..127","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","10","128..143","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","11","144..159","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","12","160..175","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","13","176..191","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","14","192..207","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","15","208..223","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","16","224..239","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","17","240..255","255,0,255","index_probe"
"Á¦Ã¶°ø_¿©","18","24..63","0,255,255","index_probe"
"Á¦Ã¶°ø_¿©","19","64..103","255,255,0","index_probe"
"Á¦Ã¶°ø_¿©","20","104..143","0,255,0","index_probe"
"Á¦Ã¶°ø_³²","2","0..15","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","3","16..31","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","4","32..47","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","5","48..63","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","6","64..79","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","7","80..95","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","8","96..111","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","9","112..127","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","10","128..143","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","11","144..159","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","12","160..175","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","13","176..191","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","14","192..207","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","15","208..223","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","16","224..239","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","17","240..255","255,0,255","index_probe"
"Á¦Ã¶°ø_³²","18","24..63","0,255,255","index_probe"
"Á¦Ã¶°ø_³²","19","64..103","255,255,0","index_probe"
"Á¦Ã¶°ø_³²","20","104..143","0,255,0","index_probe"
"whitesmith_female","2","0..15","255,0,255","index_probe"
"whitesmith_female","3","16..31","255,0,255","index_probe"
"whitesmith_female","4","32..47","255,0,255","index_probe"
"whitesmith_female","5","48..63","255,0,255","index_probe"
"whitesmith_female","6","64..79","255,0,255","index_probe"
"whitesmith_female","7","80..95","255,0,255","index_probe"
"whitesmith_female","8","96..111","255,0,255","index_probe"
"whitesmith_female","9","112..127","255,0,255","index_probe"
"whitesmith_female","10","128..143","255,0,255","index_probe"
"whitesmith_female","11","144..159","255,0,255","index_probe"
"whitesmith_female","12","160..175","255,0,255","index_probe"
"whitesmith_female","13","176..191","255,0,255","index_probe"
"whitesmith_female","14","192..207","255,0,255","index_probe"
"whitesmith_female","15","208..223","255,0,255","index_probe"
"whitesmith_female","16","224..239","255,0,255","index_probe"
"whitesmith_female","17","240..255","255,0,255","index_probe"
"whitesmith_female","18","24..63","0,255,255","index_probe"
"whitesmith_female","19","64..103","255,255,0","index_probe"
"whitesmith_female","20","104..143","0,255,0","index_probe"
"whitesmith_male","2","0..15","255,0,255","index_probe"
"whitesmith_male","3","16..31","255,0,255","index_probe"
"whitesmith_male","4","32..47","255,0,255","index_probe"
"whitesmith_male","5","48..63","255,0,255","index_probe"
"whitesmith_male","6","64..79","255,0,255","index_probe"
"whitesmith_male","7","80..95","255,0,255","index_probe"
"whitesmith_male","8","96..111","255,0,255","index_probe"
"whitesmith_male","9","112..127","255,0,255","index_probe"
"whitesmith_male","10","128..143","255,0,255","index_probe"
"whitesmith_male","11","144..159","255,0,255","index_probe"
"whitesmith_male","12","160..175","255,0,255","index_probe"
"whitesmith_male","13","176..191","255,0,255","index_probe"
"whitesmith_male","14","192..207","255,0,255","index_probe"
"whitesmith_male","15","208..223","255,0,255","index_probe"
"whitesmith_male","16","224..239","255,0,255","index_probe"
"whitesmith_male","17","240..255","255,0,255","index_probe"
"whitesmith_male","18","24..63","0,255,255","index_probe"
"whitesmith_male","19","64..103","255,255,0","index_probe"
"whitesmith_male","20","104..143","0,255,0","index_probe"
"whitesmith_female_riding","2","0..15","255,0,255","index_probe"
"whitesmith_female_riding","3","16..31","255,0,255","index_probe"
"whitesmith_female_riding","4","32..47","255,0,255","index_probe"
"whitesmith_female_riding","5","48..63","255,0,255","index_probe"
"whitesmith_female_riding","6","64..79","255,0,255","index_probe"
"whitesmith_female_riding","7","80..95","255,0,255","index_probe"
"whitesmith_female_riding","8","96..111","255,0,255","index_probe"
"whitesmith_female_riding","9","112..127","255,0,255","index_probe"
"whitesmith_female_riding","10","128..143","255,0,255","index_probe"
"whitesmith_female_riding","11","144..159","255,0,255","index_probe"
"whitesmith_female_riding","12","160..175","255,0,255","index_probe"
"whitesmith_female_riding","13","176..191","255,0,255","index_probe"
"whitesmith_female_riding","14","192..207","255,0,255","index_probe"
"whitesmith_female_riding","15","208..223","255,0,255","index_probe"
"whitesmith_female_riding","16","224..239","255,0,255","index_probe"
"whitesmith_female_riding","17","240..255","255,0,255","index_probe"
"whitesmith_female_riding","18","24..63","0,255,255","index_probe"
"whitesmith_female_riding","19","64..103","255,255,0","index_probe"
"whitesmith_female_riding","20","104..143","0,255,0","index_probe"
"whitesmith_male_riding","2","0..15","255,0,255","index_probe"
"whitesmith_male_riding","3","16..31","255,0,255","index_probe"
"whitesmith_male_riding","4","32..47","255,0,255","index_probe"
"whitesmith_male_riding","5","48..63","255,0,255","index_probe"
"whitesmith_male_riding","6","64..79","255,0,255","index_probe"
"whitesmith_male_riding","7","80..95","255,0,255","index_probe"
"whitesmith_male_riding","8","96..111","255,0,255","index_probe"
"whitesmith_male_riding","9","112..127","255,0,255","index_probe"
"whitesmith_male_riding","10","128..143","255,0,255","index_probe"
"whitesmith_male_riding","11","144..159","255,0,255","index_probe"
"whitesmith_male_riding","12","160..175","255,0,255","index_probe"
"whitesmith_male_riding","13","176..191","255,0,255","index_probe"
"whitesmith_male_riding","14","192..207","255,0,255","index_probe"
"whitesmith_male_riding","15","208..223","255,0,255","index_probe"
