Base,Group,Count,TopIndices,Samples
sorcerer_male,dark_outline,110,"176,208,240,177,178,160,224,241,179,209,180,242,225,161,226,210,243,162,181,227,228,211,244,163","176:(0,0,0)->(245,250,255) d=433; 208:(0,0,0)->(255,237,237) d=421; 240:(0,0,0)->(203,255,255) d=414; 177:(0,0,0)->(228,237,250) d=413; 178:(0,0,0)->(212,225,245) d=394; 160:(0,0,0)->(220,209,240) d=387; 224:(0,0,0)->(163,229,255) d=380; 241:(0,0,0)->(172,222,255) d=379"
sorcerer_male,blue_shadow,25,"15,51,53,52,112,113,54,50,55,77,76,75,78,12,79,11,74,49,10,73,72,9,48,8","15:(83,83,130)->(37,55,41) d=104; 51:(122,126,233)->(126,181,155) d=96; 53:(81,70,178)->(81,116,95) d=95; 52:(102,98,203)->(102,148,126) d=92; 112:(162,179,222)->(192,255,255) d=88; 113:(143,155,195)->(171,230,222) d=84; 54:(62,53,140)->(59,84,64) d=82; 50:(146,152,244)->(150,214,192) d=81"
sorcerer_male,silver_shadow,10,"126,14,125,114,124,13,115,202,203,204","126:(123,123,150)->(59,84,64) d=114; 14:(102,111,150)->(59,84,64) d=100; 125:(139,143,167)->(81,116,95) d=96; 114:(127,134,175)->(150,214,192) d=85; 124:(155,163,184)->(102,148,126) d=80; 13:(113,129,163)->(81,116,95) d=76; 115:(111,114,153)->(126,181,155) d=69; 202:(176,159,189)->(150,214,192) d=61"
sorcerer_male,white_main,7,"123,1,200,201,122,121,120","123:(175,183,202)->(126,181,155) d=68; 1:(255,255,255)->(198,255,255) d=57; 200:(220,209,240)->(192,255,255) d=56; 201:(199,184,214)->(171,230,222) d=54; 122:(195,203,220)->(150,214,192) d=54; 121:(215,223,238)->(171,230,222) d=47; 120:(235,243,255)->(192,255,255) d=45"
sorcerer_male,other,6,"0,127,116,117,205,206","0:(0,255,0)->(237,247,228) d=329; 127:(107,103,133)->(37,55,41) d=125; 116:(95,94,131)->(102,148,126) d=55; 117:(79,73,109)->(81,116,95) d=45; 205:(106,87,110)->(81,116,95) d=41; 206:(83,63,83)->(59,84,64) d=37"
sorcerer_male,purple_belt,3,"118,207,119","118:(64,54,84)->(59,84,64) d=36; 207:(59,39,56)->(37,55,41) d=31; 119:(49,35,59)->(37,55,41) d=29"
sorcerer_female,dark_outline,117,"176,208,224,240,177,178,16,24,32,56,80,104,144,152,160,184,225,241,209,179,180,226,242,210","176:(0,0,0)->(245,250,255) d=433; 208:(0,0,0)->(203,255,255) d=414; 224:(0,0,0)->(203,255,255) d=414; 240:(0,0,0)->(203,255,255) d=414; 177:(0,0,0)->(228,237,250) d=413; 178:(0,0,0)->(212,225,245) d=394; 16:(0,0,0)->(182,225,255) d=386; 24:(0,0,0)->(182,225,255) d=386"
sorcerer_female,blue_shadow,22,"51,53,52,112,91,113,54,50,92,90,77,93,55,76,75,78,79,74,49,73,72,48","51:(122,126,233)->(126,181,155) d=96; 53:(81,70,178)->(81,116,95) d=95; 52:(102,98,203)->(102,148,126) d=92; 112:(162,179,222)->(192,255,255) d=88; 91:(140,142,200)->(166,224,197) d=86; 113:(143,155,195)->(171,230,222) d=84; 54:(62,53,140)->(59,84,64) d=82; 50:(146,152,244)->(150,214,192) d=81"
sorcerer_female,white_main,10,"200,201,89,123,0,122,121,1,88,120","200:(220,209,240)->(192,255,255) d=56; 201:(199,184,214)->(171,230,222) d=54; 89:(198,202,236)->(212,247,242) d=48; 123:(175,183,202)->(166,224,197) d=42; 0:(211,248,200)->(237,247,228) d=38; 122:(195,203,220)->(192,237,221) d=34; 121:(215,223,238)->(212,247,242) d=25; 1:(255,255,255)->(238,255,255) d=17"
sorcerer_female,silver_shadow,8,"114,115,202,203,126,204,125,124","114:(127,134,175)->(150,214,192) d=85; 115:(111,114,153)->(126,181,155) d=69; 202:(176,159,189)->(150,214,192) d=61; 203:(153,135,163)->(126,181,155) d=54; 126:(123,123,153)->(99,128,108) d=51; 204:(130,111,136)->(102,148,126) d=47; 125:(139,143,169)->(122,160,136) d=41; 124:(155,163,184)->(141,190,164) d=36"
