"Base","BaseNoSex","HasSpriteDir","OldCount","OldMax","OldHas520"
"¸ùÅ©¾ËÆÄÄ«_¿©","¸ùÅ©¾ËÆÄÄ«","False","4","3","False"
"¸ùÅ©¾ËÆÄÄ«_³²","¸ùÅ©¾ËÆÄÄ«","False","5","4","False"
"¿©¿ì¸¶¹ý»ç_¿©","¿©¿ì¸¶¹ý»ç","False","5","4","False"
"¿©¿ì¸¶¹ý»ç_³²","¿©¿ì¸¶¹ý»ç","False","5","4","False"
"¿©¿ì¿ö·Ï_¿©","¿©¿ì¿ö·Ï","False","8","7","False"
"¿©¿ì¿ö·Ï_³²","¿©¿ì¿ö·Ï","False","8","7","False"
"¿©¿ì¼¼ÀÌÁö_¿©","¿©¿ì¼¼ÀÌÁö","False","4","3","False"
"¿©¿ì¼¼ÀÌÁö_³²","¿©¿ì¼¼ÀÌÁö","False","5","4","False"
"¿©¿ì¼Ò¼­·¯_¿©","¿©¿ì¼Ò¼­·¯","False","8","7","False"
"¿©¿ì¼Ò¼­·¯_³²","¿©¿ì¼Ò¼­·¯","False","8","7","False"
"¿©¿ìÀ§Àúµå_¿©","¿©¿ìÀ§Àúµå","False","5","4","False"
"¿©¿ìÀ§Àúµå_³²","¿©¿ìÀ§Àúµå","False","5","4","False"
"¿©¿ìÇÁ·ÎÆä¼­_¿©","¿©¿ìÇÁ·ÎÆä¼­","False","4","3","False"
"¿©¿ìÇÁ·ÎÆä¼­_³²","¿©¿ìÇÁ·ÎÆä¼­","False","4","3","False"
"¿©¿ìÇÏÀÌÀ§Àúµå_¿©","¿©¿ìÇÏÀÌÀ§Àúµå","False","4","3","False"
"¿©¿ìÇÏÀÌÀ§Àúµå_³²","¿©¿ìÇÏÀÌÀ§Àúµå","False","4","3","False"
"¿¬±Ý¼ú»ç¸äµÅÁö_¿©","¿¬±Ý¼ú»ç¸äµÅÁö","False","5","4","False"
"¿¬±Ý¼ú»ç¸äµÅÁö_³²","¿¬±Ý¼ú»ç¸äµÅÁö","False","5","4","False"
"±×¸®Æù°¡µå_¿©","±×¸®Æù°¡µå","False","8","7","False"
"±×¸®Æù°¡µå_³²","±×¸®Æù°¡µå","False","8","7","False"
"±Ç¼ºÀ¶ÇÕ_¿©","±Ç¼ºÀ¶ÇÕ","False","8","7","False"
"±Ç¼ºÀ¶ÇÕ_³²","±Ç¼ºÀ¶ÇÕ","False","8","7","False"
"±Ç¼ºÆ÷¸µ_¿©","±Ç¼ºÆ÷¸µ","False","8","7","False"
"±Ç¼ºÆ÷¸µ_³²","±Ç¼ºÆ÷¸µ","False","8","7","False"
"»çÀÚ±â»ç_¿©","»çÀÚ±â»ç","False","5","4","False"
"»çÀÚ±â»ç_³²","»çÀÚ±â»ç","False","5","4","False"
"»çÀÚ·é³ªÀÌÆ®_¿©","»çÀÚ·é³ªÀÌÆ®","False","8","7","False"
"»çÀÚ·é³ªÀÌÆ®_³²","»çÀÚ·é³ªÀÌÆ®","False","8","7","False"
"»çÀÚ·Îµå³ªÀÌÆ®_¿©","»çÀÚ·Îµå³ªÀÌÆ®","False","5","4","False"
"»çÀÚ·Îµå³ªÀÌÆ®_³²","»çÀÚ·Îµå³ªÀÌÆ®","False","5","4","False"
"»çÀÚ·Î¾â°¡µå_¿©","»çÀÚ·Î¾â°¡µå","False","8","7","False"
"»çÀÚ·Î¾â°¡µå_³²","»çÀÚ·Î¾â°¡µå","False","8","7","False"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©","»çÀÚÅ©·ç¼¼ÀÌ´õ","False","4","3","False"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_³²","»çÀÚÅ©·ç¼¼ÀÌ´õ","False","5","4","False"
"»çÀÚÆÈ¶óµò_¿©","»çÀÚÆÈ¶óµò","False","4","3","False"
"»çÀÚÆÈ¶óµò_³²","»çÀÚÆÈ¶óµò","False","4","3","False"
"»óÀÎ¸äµÅÁö_¿©","»óÀÎ¸äµÅÁö","False","5","4","False"
"»óÀÎ¸äµÅÁö_³²","»óÀÎ¸äµÅÁö","False","5","4","False"
"°¡µå_¿©","°¡µå","False","4","3","False"
"°¡µå_³²","°¡µå","False","4","3","False"
"µÎ²¨ºñ´ÑÀÚ_¿©","µÎ²¨ºñ´ÑÀÚ","False","8","7","False"
"µÎ²¨ºñ´ÑÀÚ_³²","µÎ²¨ºñ´ÑÀÚ","False","8","7","False"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©","µÎ²¨ºñ¼Ò¿ï¸µÄ¿","False","8","7","False"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²","µÎ²¨ºñ¼Ò¿ï¸µÄ¿","False","8","7","False"
"·é³ªÀÌÆ®»Ú¶ì_¿©","·é³ªÀÌÆ®»Ú¶ì","False","4","7","False"
"·é³ªÀÌÆ®»Ú¶ì_³²","·é³ªÀÌÆ®»Ú¶ì","False","4","7","False"
"·ÎµåÆäÄÚ_¿©","·ÎµåÆäÄÚ","False","4","3","False"
"·ÎµåÆäÄÚ_³²","·ÎµåÆäÄÚ","False","4","3","False"
"·Îº¸_¿©","·Îº¸","False","4","3","False"
"·Îº¸_³²","·Îº¸","False","4","3","False"
"¼ºÁ¦_¿©_Å»°Í","¼ºÁ¦_¿©_Å»°Í","False","4","3","False"
"¼ºÁ¦_³²_Å»°Í","¼ºÁ¦_³²_Å»°Í","False","4","3","False"
"¼ºÁ¦À¶ÇÕ_¿©","¼ºÁ¦À¶ÇÕ","False","8","7","False"
"¼ºÁ¦À¶ÇÕ_³²","¼ºÁ¦À¶ÇÕ","False","8","7","False"
"½´¶ó¾ËÆÄÄ«_¿©","½´¶ó¾ËÆÄÄ«","False","8","7","False"
"½´¶ó¾ËÆÄÄ«_³²","½´¶ó¾ËÆÄÄ«","False","8","7","False"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©","½´ÆÛ³ëºñ½ºÆ÷¸µ","False","8","7","False"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_³²","½´ÆÛ³ëºñ½ºÆ÷¸µ","False","8","7","False"
"½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_¿©","½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ","True","4","3","False"
"½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_³²","½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ","True","4","3","False"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©","¾ÆÅ©ºñ¼ó¾ËÆÄÄ«","False","8","7","False"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²","¾ÆÅ©ºñ¼ó¾ËÆÄÄ«","False","8","7","False"
"¹«Èñ_³²","¹«Èñ","True","4","3","False"
"¹«Èñ¹ÙÁö_¿©","¹«Èñ¹ÙÁö","False","4","3","False"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©","¹ÌÄÉ´Ð_¸¶µµ±â¾î","False","8","7","False"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²","¹ÌÄÉ´Ð_¸¶µµ±â¾î","False","8","7","False"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©","¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó","False","8","7","False"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²","¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó","False","8","7","False"
"¹ÌÄÉ´Ð¸äµÅÁö_¿©","¹ÌÄÉ´Ð¸äµÅÁö","False","8","7","False"
"¹ÌÄÉ´Ð¸äµÅÁö_³²","¹ÌÄÉ´Ð¸äµÅÁö","False","8","7","False"
"¹Ùµå_¿©","¹Ùµå","True","4","3","False"
"³ëºñ½ºÆ÷¸µ_¿©","³ëºñ½ºÆ÷¸µ","False","9","8","False"
"³ëºñ½ºÆ÷¸µ_³²","³ëºñ½ºÆ÷¸µ","False","9","8","False"
"Á¦³×¸¯¸äµÅÁö_¿©","Á¦³×¸¯¸äµÅÁö","False","8","7","False"
"Á¦³×¸¯¸äµÅÁö_³²","Á¦³×¸¯¸äµÅÁö","False","8","7","False"
"Á¦Ã¶°ø¸äµÅÁö_¿©","Á¦Ã¶°ø¸äµÅÁö","False","5","4","False"
"Á¦Ã¶°ø¸äµÅÁö_³²","Á¦Ã¶°ø¸äµÅÁö","False","5","4","False"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©","Ã¨ÇÇ¿Â¾ËÆÄÄ«","False","4","3","False"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²","Ã¨ÇÇ¿Â¾ËÆÄÄ«","False","4","3","False"
"Å¸Á¶¿ø´õ·¯_¿©","Å¸Á¶¿ø´õ·¯","False","8","7","False"
"Å¸Á¶±Ã¼ö_¿©","Å¸Á¶±Ã¼ö","False","5","4","False"
"Å¸Á¶±Ã¼ö_³²","Å¸Á¶±Ã¼ö","False","5","4","False"
"Å¸Á¶½º³ªÀÌÆÛ_¿©","Å¸Á¶½º³ªÀÌÆÛ","False","4","3","False"
"Å¸Á¶½º³ªÀÌÆÛ_³²","Å¸Á¶½º³ªÀÌÆÛ","False","4","3","False"
"Å¸Á¶¹«Èñ_¿©","Å¸Á¶¹«Èñ","False","5","4","False"
"Å¸Á¶¹«Èñ_³²","Å¸Á¶¹«Èñ","False","4","3","False"
"Å¸Á¶¹Î½ºÆ®·²_³²","Å¸Á¶¹Î½ºÆ®·²","False","8","7","False"
"Å¸Á¶¹Ùµå_¿©","Å¸Á¶¹Ùµå","False","4","3","False"
"Å¸Á¶¹Ùµå_³²","Å¸Á¶¹Ùµå","False","5","4","False"
"Å¸Á¶Â¤½Ã_¿©","Å¸Á¶Â¤½Ã","False","4","3","False"
"Å¸Á¶Â¤½Ã_³²","Å¸Á¶Â¤½Ã","False","4","3","False"
"Å¸Á¶Å©¶ó¿î_¿©","Å¸Á¶Å©¶ó¿î","False","4","3","False"
"Å¸Á¶Å©¶ó¿î_³²","Å¸Á¶Å©¶ó¿î","False","4","3","False"
"Å¸Á¶ÇåÅÍ_¿©","Å¸Á¶ÇåÅÍ","False","5","4","False"
"Å¸Á¶ÇåÅÍ_³²","Å¸Á¶ÇåÅÍ","False","5","4","False"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©","Å©¸®¿¡ÀÌÅÍ¸äµÅÁö","False","4","3","False"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²","Å©¸®¿¡ÀÌÅÍ¸äµÅÁö","False","4","3","False"
"Å©¶ó¿î_¿©","Å©¶ó¿î","False","4","3","False"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_¿©","ÅÂ±Ç¼Ò³âÆ÷¸µ","False","8","7","False"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_³²","ÅÂ±Ç¼Ò³âÆ÷¸µ","False","8","7","False"
"abyss_chaser_¿©","abyss_chaser","True","8","7","False"
"abyss_chaser_³²","abyss_chaser","True","8","7","False"
