Base,Style1,Style2,Style3,Style4,Style5
'Å¸Á¶·¹ÀÎÁ®_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
'Å¸Á¶·¹ÀÎÁ®_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
abyss_chaser_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
alchemist_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
alchemist_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
alchemist_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
alchemist_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_bishop_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_bishop_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_bishop_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_bishop_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
arch_mage_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
archer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
archer_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
bard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
bard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
biolo_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
biolo_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
biolo_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
biolo_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
