Base,Group,Count,Indices,Samples
sorcerer_male,dark_shadow,134,"2,3,4,5,6,7,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,54,55,56,57,58,59,60,61,62","2:(33,2,2); 3:(33,2,2); 4:(33,2,2); 5:(33,2,2); 6:(33,2,2); 7:(33,2,2); 16:(33,2,2); 17:(33,2,2); 18:(33,2,2); 19:(33,2,2); 20:(33,2,2); 21:(33,2,2)"
sorcerer_male,red_detail,63,"10,11,12,13,14,15,49,50,51,52,53,74,75,76,77,78,79,89,90,91,92,93,94,97,98,99,100,101,112,113,114,115,116,117,122,123,124,125,126,127","10:(237,168,172); 11:(233,132,137); 12:(228,96,101); 13:(224,58,62); 14:(220,30,35); 15:(177,22,29); 49:(238,157,166); 50:(231,106,119); 51:(225,65,80); 52:(213,26,41); 53:(167,20,35); 74:(236,171,178)"
sorcerer_male,keep_white_main,22,"1,8,9,40,41,48,64,72,73,88,96,120,121,128,129,168,192,200,216,217,232,233","1:(252,206,206); 8:(242,204,206); 9:(242,201,206); 40:(255,237,237); 41:(224,204,206); 48:(244,201,206); 64:(243,206,206); 72:(244,205,206); 73:(241,202,205); 88:(248,203,206); 96:(239,202,206); 120:(249,204,206)"
sorcerer_male,accent_other,20,"0,65,66,67,130,131,132,133,134,135,136,137,138,142,193,194,195,196,197,198","0:(0,255,0); 65:(171,230,222); 66:(150,214,192); 67:(126,181,155); 130:(178,198,255); 131:(159,174,246); 132:(132,144,220); 133:(107,115,189); 134:(82,86,158); 135:(59,63,130); 136:(181,240,214); 137:(165,216,184)"
sorcerer_male,neutral_other,15,"43,44,45,46,68,69,70,139,140,141,234,236,237,238,239","43:(167,139,149); 44:(140,111,122); 45:(119,94,100); 46:(89,67,71); 68:(102,148,126); 69:(81,116,95); 70:(59,84,64); 139:(135,163,128); 140:(116,134,102); 141:(100,104,76); 234:(178,204,207); 236:(133,152,159)"
sorcerer_male,keep_silver_shadow,2,"42,235","42:(193,167,175); 235:(156,178,183)"
sorcerer_female,dark_shadow,133,"2,3,4,5,6,7,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,54,55,56,57,58,59,60,61,63","2:(33,2,2); 3:(33,2,2); 4:(33,2,2); 5:(33,2,2); 6:(33,2,2); 7:(33,2,2); 16:(33,2,2); 17:(33,2,2); 18:(33,2,2); 19:(33,2,2); 20:(33,2,2); 21:(33,2,2)"
sorcerer_female,red_detail,58,"49,50,51,52,53,62,74,75,76,77,78,79,89,90,91,92,93,94,97,98,99,100,101,112,113,114,115,116,117,122,123,124,125,126,127,169,170,171,172,173","49:(238,157,166); 50:(231,106,119); 51:(225,65,80); 52:(213,26,41); 53:(167,20,35); 62:(180,22,22); 74:(236,171,178); 75:(231,134,142); 76:(226,92,101); 77:(221,47,57); 78:(210,27,37); 79:(174,22,31)"
sorcerer_female,accent_other,24,"8,9,10,11,12,65,66,67,130,131,132,133,134,135,136,137,138,142,193,194,195,196,197,198","8:(188,244,255); 9:(182,225,255); 10:(165,199,232); 11:(148,176,209); 12:(131,153,186); 65:(171,230,222); 66:(150,214,192); 67:(126,181,155); 130:(178,198,255); 131:(159,174,246); 132:(132,144,220); 133:(107,115,189)"
sorcerer_female,keep_white_main,21,"0,1,40,41,48,64,72,73,88,96,120,121,128,129,168,192,200,216,217,232,233","0:(211,248,200); 1:(252,206,206); 40:(255,237,237); 41:(224,204,206); 48:(244,201,206); 64:(243,206,206); 72:(244,205,206); 73:(241,202,205); 88:(248,203,206); 96:(239,202,206); 120:(249,204,206); 121:(246,201,203)"
sorcerer_female,neutral_other,18,"13,14,15,43,44,45,46,68,69,70,139,140,141,234,236,237,238,239","13:(113,129,163); 14:(99,106,145); 15:(83,83,130); 43:(167,139,149); 44:(140,111,122); 45:(119,94,100); 46:(89,67,71); 68:(102,148,126); 69:(81,116,95); 70:(59,84,64); 139:(135,163,128); 140:(116,134,102)"
sorcerer_female,keep_silver_shadow,2,"42,235","42:(193,167,175); 235:(156,178,183)"
elemetal_master_male,dark_shadow,134,"2,3,4,5,6,7,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,54,55,56,57,58,59,60,61,62","2:(33,2,2); 3:(33,2,2); 4:(33,2,2); 5:(33,2,2); 6:(33,2,2); 7:(33,2,2); 16:(33,2,2); 17:(33,2,2); 18:(33,2,2); 19:(33,2,2); 20:(33,2,2); 21:(33,2,2)"
elemetal_master_male,red_detail,63,"10,11,12,13,14,15,49,50,51,52,53,74,75,76,77,78,79,89,90,91,92,93,94,97,98,99,100,101,112,113,114,115,116,117,122,123,124,125,126,127","10:(237,168,172); 11:(233,132,137); 12:(228,96,101); 13:(224,58,62); 14:(220,30,35); 15:(177,22,29); 49:(238,157,166); 50:(231,106,119); 51:(225,65,80); 52:(213,26,41); 53:(167,20,35); 74:(236,171,178)"
elemetal_master_male,keep_white_main,22,"1,8,9,40,41,48,64,72,73,88,96,120,121,128,129,168,192,200,216,217,232,233","1:(252,206,206); 8:(242,204,206); 9:(242,201,206); 40:(255,237,237); 41:(224,204,206); 48:(244,201,206); 64:(243,206,206); 72:(244,205,206); 73:(241,202,205); 88:(248,203,206); 96:(239,202,206); 120:(249,204,206)"
elemetal_master_male,accent_other,20,"0,65,66,67,130,131,132,133,134,135,136,137,138,142,193,194,195,196,197,198","0:(0,255,0); 65:(171,230,222); 66:(150,214,192); 67:(126,181,155); 130:(178,198,255); 131:(159,174,246); 132:(132,144,220); 133:(107,115,189); 134:(82,86,158); 135:(59,63,130); 136:(181,240,214); 137:(165,216,184)"
elemetal_master_male,neutral_other,15,"43,44,45,46,68,69,70,139,140,141,234,236,237,238,239","43:(167,139,149); 44:(140,111,122); 45:(119,94,100); 46:(89,67,71); 68:(102,148,126); 69:(81,116,95); 70:(59,84,64); 139:(135,163,128); 140:(116,134,102); 141:(100,104,76); 234:(178,204,207); 236:(133,152,159)"
elemetal_master_male,keep_silver_shadow,2,"42,235","42:(193,167,175); 235:(156,178,183)"
elemetal_master_female,dark_shadow,133,"2,3,4,5,6,7,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,54,55,56,57,58,59,60,61,63","2:(33,2,2); 3:(33,2,2); 4:(33,2,2); 5:(33,2,2); 6:(33,2,2); 7:(33,2,2); 16:(33,2,2); 17:(33,2,2); 18:(33,2,2); 19:(33,2,2); 20:(33,2,2); 21:(33,2,2)"
elemetal_master_female,red_detail,58,"49,50,51,52,53,62,74,75,76,77,78,79,89,90,91,92,93,94,97,98,99,100,101,112,113,114,115,116,117,122,123,124,125,126,127,169,170,171,172,173","49:(238,157,166); 50:(231,106,119); 51:(225,65,80); 52:(213,26,41); 53:(167,20,35); 62:(180,22,22); 74:(236,171,178); 75:(231,134,142); 76:(226,92,101); 77:(221,47,57); 78:(210,27,37); 79:(174,22,31)"
